"","x"
"640",9
"641",3
"642",8
"643",32
"644",3
"645",0
"646",14
"647",32
"648",49
"649",0
"650",3
"651",8
"652",3
"653",3
"654",0
"655",0
"656",50
"657",59
"658",0
"659",8
"660",0
"661",8
"662",8
"663",14
"664",25
"665",3
"666",3
"667",0
"668",0
"669",11
"670",8
"671",19
"672",4
"673",1
"674",3
"675",0
"676",6
"677",0
"678",8
"679",18
"680",20
"681",0
"682",0
"683",0
"684",0
"685",0
"686",1
"687",14
"688",14
"689",0
"690",3
"691",3
"692",43
"693",3
"694",8
"695",2
"696",0
"697",0
"698",25
"699",5
"700",7
"701",0
"702",1
"703",0
"704",0
"705",2
"706",0
"707",0
"708",0
"709",0
"710",3
"711",3
"712",49
"713",0
"714",0
"715",3
"716",1
"717",8
"718",0
"719",8
"720",1
"721",14
"722",1
"723",0
"724",8
"725",0
"726",0
"727",0
"728",0
"729",0
"730",3
"731",2
"732",0
"733",3
"734",3
"735",0
"736",0
"737",1
"738",1
"739",59
"740",3
"741",8
"742",4
"743",15
"744",0
"745",89
"746",3
"747",14
"748",0
"749",18
"750",1
"751",2
"752",8
"753",3
"754",11
"755",0
"756",0
"757",5
"758",3
"759",0
"760",4
"761",0
"762",0
"763",0
"764",0
"765",31
"766",2
"767",4
"768",0
"769",4
"770",1
"771",0
"772",3
"773",0
"774",4
"775",3
"776",8
"777",14
"778",1
"779",3
"780",82
"781",0
"782",3
"783",51
"784",3
"785",0
"786",0
"787",38
"788",3
"789",7
"790",3
"791",6
"792",15
"793",83
"794",0
"795",0
"796",3
"797",0
"798",14
"799",0
"800",8
"801",0
"802",49
"803",4
"804",1
"805",0
"806",11
"807",0
"808",8
"809",3
"810",0
"811",1
"812",3
"813",7
"814",0
"815",8
"816",8
"817",3
"818",3
"819",10
"820",0
"821",0
"822",2
"823",3
"824",6
"825",3
"826",0
"827",14
"828",0
"829",6
"830",14
"831",3
"832",1
"833",0
"834",9
"835",47
"836",0
"837",8
"838",50
"839",1
"840",29
"841",3
"842",13
"843",3
"844",3
"845",7
"846",1
"847",4
"848",83
"849",2
"850",3
"851",0
"852",6
"853",1
"854",3
"855",0
"856",3
"857",83
"858",0
"859",3
"860",3
"861",0
"862",0
"863",0
"864",3
"865",0
"866",11
"867",0
"868",2
"869",0
"870",1
"871",43
"872",1
"873",1
"874",1
"875",0
"876",0
"877",16
"878",3
"879",6
"880",0
"881",10
"882",5
"883",25
"884",0
"885",4
"886",8
"887",3
"888",59
"889",14
"890",0
"891",0
"892",1
"893",3
"894",3
"895",12
"896",8
"897",49
"898",3
"899",1
"900",3
"901",3
"902",0
"903",25
"904",1
"905",68
"906",3
"907",13
"908",5
"909",0
"910",35
"911",21
"912",0
"913",0
"914",14
"915",0
"916",7
"917",3
"918",0
"919",25
"920",49
"921",29
"922",1
"923",0
"924",0
"925",0
"926",8
"927",9
"928",0
"929",3
"930",0
"931",0
"932",4
"933",11
"934",3
"935",32
"936",14
"937",0
"938",3
"939",0
"940",0
"941",8
"942",3
"943",0
"944",0
"945",0
"946",0
"947",8
"948",46
"949",0
"950",0
"951",0
"952",0
"953",3
"954",0
"955",29
"956",0
"957",0
"958",0
"959",1
"960",0
"961",3
"962",8
"963",0
"964",0
"965",11
"966",2
"967",3
"968",3
"969",3
"970",0
"971",31
"972",3
"973",25
"974",1
"975",0
"976",0
"977",3
"978",5
"979",0
"980",18
"981",2
"982",2
"983",44
"984",8
"985",0
"986",29
"987",4
"988",0
"989",30
"990",23
"991",0
"992",0
"993",5
"994",6
"995",59
"996",3
"997",40
"998",0
"999",13
"1000",4
"1001",0
"1002",8
"1003",2
"1004",5
"1005",8
"1006",4
"1007",0
"1008",2
"1009",0
"1010",8
"1011",3
"1012",10
"1013",0
"1014",4
"1015",15
"1016",0
"1017",0
"1018",32
"1019",10
"1020",8
"1021",3
"1022",0
"1023",69
"1024",3
"1025",2
"1026",1
"1027",0
"1028",3
"1029",2
"1030",0
"1031",0
"1032",0
"1033",8
"1034",0
"1035",0
"1036",49
"1037",3
"1038",10
"1039",3
"1040",0
"1041",5
"1042",2
"1043",0
"1044",41
"1045",28
"1046",0
"1047",0
"1048",82
"1049",0
"1050",53
"1051",41
"1052",2
"1053",4
"1054",11
"1055",0
"1056",1
"1057",0
"1058",1
"1059",2
"1060",17
"1061",70
"1062",2
"1063",10
"1064",0
"1065",3
"1066",6
"1067",0
"1068",0
"1069",0
"1070",6
"1071",0
"1072",75
"1073",2
"1074",0
"1075",2
"1076",0
"1077",0
"1078",27
"1079",15
"1080",4
"1081",15
"1082",0
"1083",19
"1084",21
"1085",37
"1086",17
"1087",57
"1088",39
"1089",15
"1090",0
"1091",41
"1092",89
"1093",0
"1094",2
"1095",2
"1096",2
"1097",0
"1098",27
"1099",23
"1100",0
"1101",2
"1102",0
"1103",27
"1104",2
"1105",54
"1106",81
"1107",3
"1108",5
"1109",1
"1110",15
"1111",50
"1112",4
"1113",0
"1114",45
"1115",32
"1116",1
"1117",0
"1118",1
"1119",1
"1120",0
"1121",49
"1122",1
"1123",5
"1124",2
"1125",23
"1126",1
"1127",30
"1128",4
"1129",49
"1130",16
"1131",17
"1132",2
"1133",0
"1134",0
"1135",24
"1136",0
"1137",1
"1138",26
"1139",20
"1140",41
"1141",0
"1142",4
"1143",0
"1144",25
"1145",2
"1146",22
"1147",37
"1148",2
"1149",7
"1150",20
"1151",20
"1152",18
"1153",2
"1154",2
"1155",5
"1156",2
"1157",5
"1158",1
"1159",51
"1160",23
"1161",15
"1162",67
"1163",23
"1164",23
"1165",4
"1166",42
"1167",20
"1168",4
"1169",0
"1170",4
"1171",26
"1172",4
"1173",26
"1174",85
"1175",40
"1176",75
"1177",16
"1178",33
"1179",39
"1180",0
"1181",7
"1182",0
"1183",1
"1184",0
"1185",1
"1186",0
"1187",7
"1188",43
"1189",17
"1190",7
"1191",2
"1192",9
"1193",28
"1194",27
"1195",78
"1196",18
"1197",59
"1198",4
"1199",0
"1200",2
"1201",1
"1202",5
"1203",0
"1204",68
"1205",26
"1206",0
"1207",1
"1208",1
"1209",15
"1210",70
"1211",12
"1212",44
"1213",45
"1214",3
"1215",5
"1216",24
"1217",0
"1218",0
"1219",7
"1220",6
"1221",3
"1222",4
"1223",4
"1224",66
"1225",1
"1226",11
"1227",28
"1228",53
"1229",32
"1230",6
"1231",0
"1232",0
"1233",0
"1234",0
"1235",33
"1236",2
"1237",16
"1238",51
"1239",4
"1240",24
"1241",38
"1242",4
"1243",18
"1244",15
"1245",3
"1246",45
"1247",57
"1248",26
"1249",55
"1250",0
"1251",1
"1252",11
"1253",20
"1254",0
"1255",2
"1256",5
"1257",5
"1258",42
"1259",16
"1260",76
"1261",6
"1262",1
"1263",80
"1264",0
"1265",6
"1266",42
"1267",26
"1268",41
"1269",0
"1270",1
"1271",1
"1272",0
"1273",0
"1274",6
"1275",15
"1276",0
"1277",8
"1278",17
"1279",7
"1280",0
"1281",0
"1282",1
"1283",32
"1284",15
"1285",50
"1286",0
"1287",11
"1288",0
"1289",42
"1290",15
"1291",33
"1292",15
"1293",4
"1294",10
"1295",1
"1296",0
"1297",76
"1298",39
"1299",1
"1300",10
"1301",2
"1302",19
"1303",21
"1304",2
"1305",0
"1306",0
"1307",0
"1308",23
"1309",3
"1310",7
"1311",75
"1312",0
"1313",55
"1314",0
"1315",8
"1316",2
"1317",0
"1318",1
"1319",39
"1320",46
"1321",74
"1322",2
"1323",7
"1324",1
"1325",21
"1326",4
"1327",32
"1328",9
"1329",8
"1330",1
"1331",0
"1332",2
"1333",0
"1334",52
"1335",0
"1336",2
"1337",1
"1338",5
"1339",2
"1340",65
"1341",0
"1342",28
"1343",34
"1344",1
"1345",7
"1346",39
"1347",2
"1348",4
"1349",0
"1350",6
"1351",17
"1352",4
"1353",47
"1354",1
"1355",0
"1356",47
"1357",22
"1358",88
"1359",2
"1360",27
"1361",61
"1362",5
"1363",0
"1364",20
"1365",26
"1366",52
"1367",42
"1368",30
"1369",5
"1370",44
"1371",9
"1372",0
"1373",0
"1374",0
"1375",6
"1376",1
"1377",28
"1378",26
"1379",0
"1380",15
"1381",47
"1382",6
"1383",17
"1384",24
"1385",0
"1386",1
"1387",2
"1388",28
"1389",7
"1390",1
"1391",24
"1392",17
"1393",5
"1394",0
"1395",11
"1396",76
"1397",26
"1398",5
"1399",45
"1400",45
"1401",0
"1402",48
"1403",8
"1404",31
"1405",10
"1406",31
"1407",20
"1408",21
"1409",60
"1410",54
"1411",6
"1412",0
"1413",0
"1414",5
"1415",0
"1416",2
"1417",0
"1418",1
"1419",2
"1420",2
"1421",0
"1422",4
"1423",22
"1424",2
"1425",5
"1426",16
"1427",0
"1428",54
"1429",0
"1430",33
"1431",0
"1432",4
"1433",10
"1434",0
"1435",13
"1436",2
"1437",7
"1438",12
"1439",9
"1440",68
"1441",34
"1442",0
"1443",0
"1444",9
"1445",5
"1446",25
"1447",1
"1448",0
"1449",5
"1450",2
"1451",36
"1452",5
"1453",23
"1454",77
"1455",4
"1456",1
"1457",0
"1458",2
"1459",53
"1460",5
"1461",2
"1462",0
"1463",2
"1464",55
"1465",11
"1466",0
"1467",66
"1468",15
"1469",1
"1470",1
"1471",13
"1472",85
"1473",5
"1474",4
"1475",1
"1476",9
"1477",7
"1478",1
"1479",5
"1480",86
"1481",1
"1482",35
"1483",0
"1484",46
"1485",0
"1486",0
"1487",56
"1488",21
"1489",0
"1490",0
"1491",47
"1492",0
"1493",0
"1494",13
"1495",22
"1496",27
"1497",15
"1498",15
"1499",15
"1500",6
"1501",29
"1502",4
"1503",7
"1504",0
"1505",0
"1506",0
"1507",6
"1508",1
"1509",2
"1510",39
"1511",0
"1512",65
"1513",5
"1514",34
"1515",17
"1516",22
"1517",0
"1518",77
"1519",3
"1520",5
"1521",18
"1522",1
"1523",52
"1524",27
"1525",0
"1526",1
"1527",52
"1528",5
"1529",1
"1530",32
"1531",1
"1532",1
"1533",39
"1534",5
"1535",0
"1536",16
"1537",77
"1538",4
"1539",28
"1540",0
"1541",0
"1542",0
"1543",5
"1544",39
"1545",0
"1546",2
"1547",2
"1548",0
"1549",1
"1550",5
"1551",2
"1552",50
"1553",0
"1554",5
"1555",22
"1556",20
"1557",0
"1558",32
"1559",1
"1560",1
"1561",32
"1562",0
"1563",0
"1564",79
"1565",58
"1566",4
"1567",28
"1568",0
"1569",7
"1570",5
"1571",5
"1572",1
"1573",3
"1574",19
"1575",8
"1576",9
"1577",3
"1578",1
"1579",31
"1580",22
"1581",0
"1582",2
"1583",72
"1584",26
"1585",11
"1586",0
"1587",0
"1588",0
"1589",2
"1590",70
"1591",6
"1592",47
"1593",2
"1594",14
"1595",6
"1596",5
"1597",0
"1598",0
"1599",5
"1600",31
"1601",0
"1602",54
"1603",57
"1604",0
"1605",5
"1606",5
"1607",13
"1608",0
"1609",0
"1610",83
"1611",1
"1612",5
"1613",4
"1614",1
"1615",0
"1616",24
"1617",5
"1618",0
"1619",86
"1620",56
"1621",39
"1622",3
"1623",54
"1624",6
"1625",28
"1626",3
"1627",0
"1628",2
"1629",6
"1630",15
"1631",47
"1632",0
"1633",78
"1634",4
"1635",0
"1636",3
"1637",1
"1638",34
"1639",1
"1640",7
"1641",17
"1642",1
"1643",0
"1644",81
"1645",0
"1646",60
"1647",7
"1648",1
"1649",27
"1650",1
"1651",0
"1652",9
"1653",1
"1654",5
"1655",0
"1656",0
"1657",41
"1658",29
"1659",4
"1660",25
"1661",64
"1662",0
"1663",6
"1664",5
"1665",49
"1666",1
"1667",1
"1668",2
"1669",64
"1670",0
"1671",25
"1672",85
"1673",3
"1674",31
"1675",7
"1676",11
"1677",0
"1678",0
"1679",29
"1680",38
"1681",0
"1682",61
"1683",26
"1684",4
"1685",17
"1686",13
"1687",4
"1688",23
"1689",6
"1690",6
"1691",0
"1692",31
"1693",0
"1694",0
"1695",3
"1696",0
"1697",4
"1698",1
"1699",0
"1700",12
"1701",6
"1702",55
"1703",41
"1704",2
"1705",27
"1706",9
"1707",3
"1708",3
"1709",8
"1710",4
"1711",30
"1712",1
"1713",11
"1714",1
"1715",8
"1716",2
"1717",12
"1718",1
"1719",21
"1720",1
"1721",1
"1722",20
"1723",1
"1724",0
"1725",9
"1726",4
"1727",7
"1728",82
"1729",0
"1730",4
"1731",3
"1732",3
"1733",13
"1734",23
"1735",0
"1736",0
"1737",87
"1738",0
"1739",1
"1740",7
"1741",0
"1742",0
"1743",19
"1744",0
"1745",5
"1746",5
"1747",45
"1748",28
"1749",11
"1750",87
"1751",6
"1752",78
"1753",1
"1754",4
"1755",0
"1756",0
"1757",69
"1758",2
"1759",26
"1760",0
"1761",6
"1762",4
"1763",22
"1764",16
"1765",13
"1766",3
"1767",31
"1768",2
"1769",5
"1770",16
"1771",80
"1772",1
"1773",45
"1774",0
"1775",0
"1776",36
"1777",0
"1778",41
"1779",23
"1780",8
"1781",6
"1782",69
"1783",44
"1784",19
"1785",70
"1786",0
"1787",16
"1788",5
"1789",72
"1790",63
"1791",5
"1792",2
"1793",66
"1794",15
"1795",0
"1796",16
"1797",5
"1798",15
"1799",0
"1800",16
"1801",0
"1802",2
"1803",15
"1804",46
"1805",0
"1806",15
"1807",1
"1808",5
"1809",35
"1810",4
"1811",48
"1812",53
"1813",2
"1814",45
"1815",1
"1816",4
"1817",0
"1818",0
"1819",67
"1820",44
"1821",67
"1822",5
"1823",8
"1824",12
"1825",53
"1826",0
"1827",1
"1828",65
"1829",61
"1830",0
"1831",17
"1832",4
"1833",2
"1834",39
"1835",4
"1836",11
"1837",0
"1838",7
"1839",2
"1840",68
"1841",4
"1842",13
"1843",1
"1844",9
"1845",15
"1846",4
"1847",1
"1848",76
"1849",3
"1850",0
"1851",67
"1852",28
"1853",11
"1854",8
"1855",0
"1856",11
"1857",1
"1858",5
"1859",1
"1860",4
"1861",1
"1862",2
"1863",2
"1864",3
"1865",1
"1866",13
"1867",40
"1868",80
"1869",0
"1870",1
"1871",1
"1872",15
"1873",5
"1874",9
"1875",15
"1876",8
"1877",63
"1878",0
"1879",44
"1880",57
"1881",42
"1882",37
"1883",45
"1884",0
"1885",1
"1886",39
"1887",67
"1888",0
"1889",20
"1890",6
"1891",0
"1892",16
"1893",2
"1894",5
"1895",17
"1896",6
"1897",0
"1898",9
"1899",5
"1900",24
"1901",0
"1902",2
"1903",0
"1904",2
"1905",56
"1906",3
"1907",3
"1908",2
"1909",61
"1910",0
"1911",0
"1912",4
"1913",0
"1914",2
"1915",58
"1916",9
"1917",1
"1918",17
"1919",30
"1920",0
"1921",20
"1922",67
"1923",35
"1924",3
"1925",0
"1926",67
"1927",9
"1928",39
"1929",35
"1930",2
"1931",21
"1932",21
"1933",36
"1934",2
"1935",3
"1936",0
"1937",0
"1938",8
"1939",57
"1940",23
"1941",2
