"","X116225_at","X64321_at","X5354_at","X1292_at","X8602_at","X164656_at","X64895_at","X55601_at","X9478_at","X83746_at","X51081_at","X221391_at","X51637_at","X118424_at","X708_at","X2193_at","X7257_at","X29079_at","X5001_at","X100507463_at","X6706_at","X55801_at","X58509_at","X9221_at","X9491_at","X84146_at","X84294_at","X4998_at","X6036_at","X79574_at","X144809_at","X29960_at","X55140_at","X270_at","X84991_at","X23398_at","X55671_at","X5476_at","X3735_at","X51747_at","X79094_at","X25980_at","X8409_at","X81556_at","X2993_at","X26509_at","X7553_at","X23172_at","X5469_at","X498_at","X157247_at","X79833_at","X387694_at","X51634_at","X148266_at","X11011_at","X1058_at","X6631_at","X6346_at","X741_at","X400258_at","X9733_at","X3853_at","X6928_at","X29093_at","X28727_at","X1995_at","X54870_at","X4068_at","X333_at","X3576_at","X7323_at","X221302_at","X80308_at","X58493_at","X7562_at","X149998_at","X5536_at","X338_at","X134218_at","X51193_at","X4654_at","X55660_at","X10320_at","X4250_at","X65993_at","X6692_at","X6122_at","X84811_at"
"X116225_at",0.999999999999999,-0.0096264221376188,-0.103329024045205,-0.21629086576591,0.388022053324604,0.157970599830004,0.0240318173133445,-0.255119336084257,0.0669531618075399,0.330467338619926,0.334127589074048,0.125740036216789,0.25991665211392,0.240140403127952,0.224063159834783,0.358666896048617,-0.0809752933314295,0.223271226543494,0.223831717837956,-0.109975180024474,-0.0163383036369117,-0.156390224567473,0.344635864107287,0.422135683047726,0.21079023298438,-0.095201406056326,0.169266207123147,0.383690388409885,-0.00501356691438099,0.0862986895231731,0.0881928996247603,0.282609324997906,0.0781658834982026,0.0219071912511579,0.321107495911599,0.0894462277202719,0.0771520340954479,-0.104829905753313,0.217272399597975,0.0671760148070872,-0.176810972145446,0.267372374643815,0.229901424548434,0.308007691908908,0.0517420069390586,-0.164155535523957,0.208555820613129,0.148226885652078,0.15513779581399,0.210330649619014,0.211901289629324,0.241845507964531,0.0475392806494363,0.0854993113994636,0.0684308085375845,0.176539432628867,0.160977733270852,0.219955881973642,-0.0224246335382016,0.347102086201192,0.00173358379995959,0.20264616999306,0.0450693493084013,-0.0938878586466549,0.228340828387549,0.112233776071312,0.0910551742728189,0.208122935029189,-0.0406465468264599,-0.091471544032497,-0.208556551254644,0.0661377900592594,0.120448050908723,0.44224824294858,0.263296487999972,0.159565021474262,0.0960193001857407,0.425104973858428,0.0171387885772581,-0.0287262707944411,0.291787252307639,0.134600920228409,0.180787407093586,0.07173202746624,0.0859919616115251,0.450207332902458,0.138953305048265,0.138022401625423,0.24762181091158
"X64321_at",-0.0096264221376188,1,-0.100632963220548,-0.0101496394572029,-0.0946149876966385,0.0849170781241194,-0.0576473488826039,0.00641764187138106,-0.0385976788964666,-0.125331836660202,0.0326647838789895,0.0214262491190078,-0.0124109075984429,0.0155098243034311,-0.0994626413498677,-0.069296732022288,-0.00753306475046098,-0.106622259672524,-0.0794092715293302,-0.0963397923140623,0.0385650113256248,-0.0287442964567884,-0.0959199870392492,-0.0159281457296008,-0.0843741707515012,0.00758339710199054,-0.163831619337033,-0.12007425202643,-0.0189638450834727,-0.0587155167347715,-0.0281745123864575,-0.244201648323075,0.0424536481734432,-0.038079347624437,0.0193097429514684,-0.117966526182694,-0.0243537940241152,0.0142985703170287,-0.0903440139840023,-0.0429034077052319,0.0804994056539035,-0.0249610378432039,-0.0722408277780408,-0.0717241956984443,-0.0346929522679035,0.0808139553012117,-0.0156988394108215,0.0187286556136517,-0.0367609338426221,8.33981947451271e-05,-0.120170844070489,0.00610546358358646,0.0256202739565549,-0.074839500759371,0.0921285639127339,-0.0983319557311931,-0.0296821427427149,-0.00658641891017871,0.00640111952139729,-0.00571505098436976,-0.0283136172009852,-0.0649479788894271,0.0176335028266478,0.203356298687076,-0.00987176104455581,0.159713448627425,0.0029482511004441,-0.052213667622935,-0.044782992451363,0.187404479840617,0.119336087848147,-0.0547359614834708,-0.0256011196697342,0.00152748829599279,-0.179768316178541,-0.039533818844791,-0.0190915298665023,-0.037024673135032,-0.0240555940259253,-0.108271866529617,0.0441194529542854,0.0191353848120646,0.0202916771281534,-0.0792889381236781,-0.0426362771504345,-0.0644884292666377,0.154923602951171,-0.0524552452590257,-0.0544398101798426
"X5354_at",-0.103329024045205,-0.100632963220548,1,0.0523541141487539,-0.106028994422801,-0.15003350626579,-0.215776887676516,-0.0340151145771531,-0.0904476439485228,0.13240790370707,0.0252122255691332,-0.0395629326198777,-0.191264869671131,-0.0258624140727802,0.0767749275199752,0.0702597916899281,0.348288716497008,-0.0188373045772648,0.163553244224094,-0.120388544103737,-0.0379941252666884,-0.049138553215075,-0.0628189804948431,-0.17033957659234,-0.139979185325816,-0.112922832503751,-0.085508458306331,-0.0740896636131494,-0.0465039543462473,-0.11252235429841,0.128912875290408,0.145278538918138,0.0218345596441342,-0.051990046387798,-0.369537044111346,-0.200980613103548,-0.227192205405755,0.260099578075345,-0.138117498405682,-0.151288139942563,-0.0833664154455948,0.0954898654285019,-0.0288221886211393,-0.0253410114589541,-0.0425769398065158,0.000922700300775858,-0.0464541142096514,-0.247844406041797,-0.0944063126390536,0.0429843195417867,0.122439447897719,0.164283288632315,-0.00673637287580124,-0.0640424729321472,-0.0360855618586431,-0.114426291203666,0.00980136438883898,0.022973045746753,-0.0685172151760709,-0.0670688009732863,-0.0985102152873802,-0.13195305914187,-0.14555066458733,-0.177435888283673,-0.200823225758316,-0.110045992054462,-0.0735414225622731,-0.0560334915886878,-0.0428975857834252,0.0530886955253095,0.129314316415415,-0.13118125837926,-0.142670818600441,-0.110901642086208,-0.110032232038532,-0.0640530497629188,-0.0381100911213628,-0.0678823295687434,-0.0504078795305846,-0.195658826431289,-0.221270020791862,-0.0660223910210804,-0.163785498343096,-0.12499325158649,-0.0368071811904329,0.016711612483718,-0.253334551520794,-0.0876761882126119,-0.254927971771381
"X1292_at",-0.21629086576591,-0.0101496394572029,0.0523541141487539,0.999999999999999,-0.354133489901531,-0.229825773097677,-0.29562238841532,0.155319611092085,-0.166877139033266,-0.191889758135327,-0.077911078944355,-0.260833343001448,-0.134977079926839,0.0991251291755051,-0.165633331567525,-0.0847144910817448,-0.187716398518428,-0.283534099209583,-0.128371823760872,-0.0733066242185194,-0.109731154969238,-0.080886852641447,-0.0192821679540081,-0.394445822307647,-0.0891990844877104,-0.147035543364117,-0.170334165070738,-0.257263231219085,-0.122960044982586,-0.230423676488987,0.00845973283304613,-0.129395170443716,-0.166529337676128,-0.162426630176119,-0.262043818323336,-0.169866186826613,-0.398747532049971,0.351808168839023,-0.21244783546026,-0.320691962376772,-0.0650152559227499,0.0676851163160711,-0.114840493447561,-0.255459597258512,-0.117015562407497,0.331521112407446,-0.148296798921444,-0.215736691505814,-0.203377622592274,-0.193961101751451,-0.221312424679714,0.0100346902953718,-0.116561994536754,-0.131255234028246,0.136666698871112,-0.0947388554402947,0.00827168894390971,-0.00921749977040133,-0.123770139683557,-0.153742733613138,-0.218131343629546,-0.335515185251079,-0.141919155823969,-0.103597200418116,-0.122535426137026,-0.0300336082513926,-0.113616098420818,-0.0263603535436118,-0.149177578308283,0.248274542490368,0.257703736365259,-0.141331867331984,-0.240158846719755,-0.34465068028353,-0.255099069580393,-0.214744860156324,-0.0517958731641805,-0.123584998982815,-0.119897663312173,-0.161656410447068,-0.181914901583074,0.0105487622498462,-0.30112054053576,-0.291263161953806,-0.106593399634358,-0.23606158532281,-0.352369550714683,-0.27354958104899,-0.165245342331214
"X8602_at",0.388022053324604,-0.0946149876966385,-0.106028994422801,-0.354133489901531,0.999999999999999,0.235974979555988,0.262483787284549,-0.207778505995175,0.115216862465559,0.308851888129711,0.194793816109186,0.289843200564959,0.237042373729888,0.221703333891563,0.405805714650815,0.384270424572786,0.0203413881624919,0.21485730865285,0.197134105813686,0.124813186296467,0.0278633958825446,0.0150845733527761,0.30356588724464,0.537262034622843,0.124702379863205,0.0835667097801756,0.304664573599859,0.504824297328332,0.145675463076633,0.149624437879718,0.0348232842200124,0.176467239188535,0.280093474061794,0.13283912396952,0.341162144392509,0.366046173330314,0.270160890324818,-0.349812247483097,0.410826583987529,0.276758661706375,-0.0101191074157365,0.0385213942757466,0.173813055491794,0.395101211061024,0.163270080907053,-0.367965200138308,0.200623388751039,0.302575345453124,0.248519068084431,0.375860590220865,0.277935954017575,0.22853669584287,0.162556781928239,0.174554181692414,0.0891893015977889,0.253459869609076,0.0667123851263781,0.251756501756014,0.155745617384522,0.255578333330766,0.156563295363822,0.506509721238875,-0.137070416918277,-0.0400281795206946,0.167874782170331,-0.00108336212700219,-0.0330001799020471,0.304253303685154,0.217194392712224,-0.293667121028658,-0.184898142164603,0.329707790944693,0.318653060803828,0.301871133094049,0.241924143245211,0.270703249649518,0.0707158018715134,0.257391204783717,0.118726150391329,0.1026219381551,0.357384712131801,0.102217813632246,0.362265966407938,0.424905322364989,-0.0784536422119697,0.309470394819762,-0.0734065552410754,0.414585199829926,0.434036338940945
"X164656_at",0.157970599830004,0.0849170781241194,-0.15003350626579,-0.229825773097677,0.235974979555988,1,0.0281443067105536,-0.188156070357494,0.154490346889599,0.123375339872379,0.0955264378024365,0.291611109615327,0.121084097287496,0.00499190135076099,0.0919977231807776,-0.00200024535562604,-0.117061099655097,0.087452873172235,0.0514267347909852,0.0529779341639017,0.214644277878347,0.106751210958716,0.134735084759597,0.164959671104868,0.0766672116634294,-0.134802128272155,-0.0535292728783933,0.134341825587189,0.0944141904674412,0.130448769644623,0.0208113737557109,-0.010062205260359,0.0799187129869314,0.131468896104034,0.180684796001691,0.028540363691464,0.0332959639978695,-0.106442274390008,0.115754649238844,0.0385228781977414,-0.0320529047952901,0.060287381909465,0.0857402418937346,0.0815670966241216,0.0263533262190103,-0.143230033332001,-0.00936888701159054,0.060971109461505,0.0896483385910002,0.114237330265963,0.116565317427752,0.0686998563575439,0.174999261131439,-0.0170417080655214,-0.0575567796072428,0.0395542835765557,-0.0191647428611082,0.0526282727785179,0.169825351948241,0.0381099339407108,0.426755210536583,0.155677783252269,0.0518943764786116,0.212777905635272,0.103391732087625,0.419415687757226,0.0626352422613301,-0.0263100746103089,0.164052136243981,-0.112456400245422,-0.0392754814057085,-0.00231104713007398,0.0734508179658541,0.152891739842597,0.0672828950368217,-0.0372994425670625,-0.0177206056790387,0.0697320856399181,0.273108171995092,-0.0526169156687366,0.0312944182821793,0.201997095440896,0.183473878373298,0.239314966452831,0.0618731223167814,0.146688847639946,0.0600891431037049,0.114477225985646,0.0639151728195331
"X64895_at",0.0240318173133445,-0.0576473488826039,-0.215776887676516,-0.29562238841532,0.262483787284549,0.0281443067105536,0.999999999999999,-0.204604096278147,0.07749388832211,0.187009487670866,-0.0541223031306643,0.173150233310297,0.0578781651343403,0.0263748827330301,0.18801801491808,0.195752883820349,0.189577331805571,0.284214198549606,0.0289189995576392,0.235604531512466,0.0182512731058061,0.147727527945017,0.172397989470013,0.282683582472062,-0.0701569306845931,0.502424261837134,0.365368239747098,0.335894269978938,0.150352801380813,-0.00692015730747427,0.0119354035572828,-0.00283147418299082,0.288867922810591,0.217840230179809,0.245417249342347,0.288617498613634,0.486291526095467,-0.447495487054333,0.150908431842575,0.419491277632256,0.139947807516398,-0.108566735621947,0.0701938874129964,0.280214829915614,0.121143664377824,-0.515830158295356,0.141902094505399,0.305632310265458,0.306367101997704,0.223924058414014,0.253905806400697,0.00242190288283446,0.088146227800535,0.205061595040836,0.0900428476943891,0.347358599381276,0.110126360562344,0.131328571339003,0.199367359361045,-0.0947654808280008,0.0828565604404984,0.432312798225508,-0.0594761882120464,-0.11219993022135,0.0251758339329774,-0.110778971136614,0.0846261012133451,0.372228912659931,0.323000138825841,-0.154654911437996,-0.229540486161242,0.410184471055159,0.334015245465954,0.154808161228584,0.37079412650233,0.414195211215698,0.0403428850996944,0.0758350619504346,-0.0277797640851023,0.149641701456786,0.271868539488432,0.0740530562526114,0.346988120509751,0.559492415777542,-0.120000506562109,0.040820417767771,-0.0764630332118234,0.464480390027395,0.329497925670584
"X55601_at",-0.255119336084257,0.00641764187138106,-0.0340151145771531,0.155319611092085,-0.207778505995175,-0.188156070357494,-0.204604096278147,1,-0.0954653850908849,-0.323906014614357,-0.247767401370974,-0.161584952709137,-0.0712075958221673,-0.214160202862291,-0.30161601000706,-0.21476001823375,-0.0838439917863811,-0.235750095528487,-0.205546600725912,0.316083258629696,-0.00220785977590232,0.0135119170694522,-0.245633635142734,-0.277791036657152,-0.0314890141449148,-0.0475556636847988,-0.121965617082113,-0.256475229825043,0.00447147256584911,-0.0535733940566338,-0.0220149669977832,-0.174438525365027,-0.191953761925092,-0.217967039152043,-0.205627245166338,-0.058531694061012,-0.16236507397575,0.200141056604942,-0.0524205549224606,-0.179093028022177,0.0412519715857864,-0.0980610830583549,-0.134492090291405,-0.128460892323817,0.0202142793390705,0.454514967573717,-0.0464448456591488,-0.0482991266552692,-0.164058594429606,-0.359858215215613,-0.351141232199466,-0.219517654518718,-0.0823967746777997,-0.0481538461820752,-0.17447557001144,-0.200825670572718,-0.0859459774663278,-0.255334509478179,0.00902698461769478,-0.0371288036527646,-0.146200857909655,-0.30630572658291,0.23897645936999,0.0684786746643129,-0.0604240870330325,-0.0397596472442885,-0.27271543067201,-0.23775099535284,0.0269587130090532,-0.173751731935079,0.329041343662492,-0.00179164645453356,-0.209192283976015,-0.32588081657052,-0.217417635949691,-0.270841142213718,-0.0635429549018432,-0.303661695259793,-0.183735672947743,0.0252138578874653,-0.161149687547877,-0.12116876514061,-0.114133021486472,-0.169080822220621,-0.0840086644570315,-0.302978905447305,0.199149907029482,-0.263734445973144,-0.15210901685647
"X9478_at",0.0669531618075399,-0.0385976788964666,-0.0904476439485228,-0.166877139033266,0.115216862465559,0.154490346889599,0.07749388832211,-0.0954653850908849,1,0.0836089606154421,-0.00142740311106848,0.148421447928774,0.0534914535721413,-0.0138219926448277,0.121277354702017,0.0324461335104627,-0.0325564331892688,0.151227012541287,0.0572183373860681,-0.0351015683675201,0.0824500829571573,0.0424976913279818,0.0899736234705669,0.142267049394234,0.00490832315424761,0.0461731294637793,0.00478197574511362,0.0753404117204726,0.00753525663642303,0.122844771991015,-0.0131053144880951,0.019601267059196,0.0197367601633964,0.00650211554065468,0.131999904424705,0.0597561002274259,0.113365694810878,-0.127460252198925,0.042763097959187,0.0573537934868635,-0.0320837646305239,-0.11765208882723,-0.00518649031356675,0.0879493698296067,0.0270743559479084,-0.128611364727173,0.00662240482783034,0.0539721702012766,-0.00257208885571678,0.0696286982510623,0.0541845675940268,0.0348958204857688,0.0543422775276034,-0.00119347328878365,-0.0564728930261421,0.0199259039935842,-0.0258223848287717,-0.0432228309119068,0.0486195175905694,0.0244118692434099,0.212265817450113,0.0946091569772283,0.00698238881481809,0.0256005976173756,-0.0241717154786598,0.15550007909122,0.0412983367439078,0.0211395329808197,0.0520957914310042,0.0205527144724448,-0.102974376606829,0.0361433311666421,0.118555542541327,0.0817113096677479,0.0124374662657258,0.0412522413929191,0.0542697577569722,0.090041818435309,0.0178058267578559,0.00974686375705698,0.0449402562223229,0.0917839269747543,0.136929705324228,0.0620495277943714,-0.00453116480555794,0.101736984109873,0.0194090405390177,0.0948502116509013,0.0269339459466985
"X83746_at",0.330467338619926,-0.125331836660202,0.13240790370707,-0.191889758135327,0.308851888129711,0.123375339872379,0.187009487670866,-0.323906014614357,0.0836089606154421,0.999999999999999,0.160382061493688,0.225817677342158,0.0696620894128741,0.263901011341353,0.253798141902172,0.376295216056185,0.00949732662026825,0.240803795059673,0.338255793940937,0.157985571891724,-0.0126066569791618,0.00230033973889704,0.413273771155775,0.378682459122895,0.102569610797266,0.0235574111143793,0.126836480447422,0.465354167479292,0.0647017691025438,-0.0517001216901219,0.0892464746112524,0.272632660202064,0.258662321081627,0.192198656275839,0.225766204701025,0.155296793815615,0.143564565048099,-0.0932387416021222,0.156590016878423,0.0478651344640787,-0.00899139285595061,0.181588186924188,0.251885453416972,0.339698090792364,0.0262688275246413,-0.406133613860392,0.056231722594499,0.148735710804924,0.172700635877674,0.40190694973157,0.389146018808866,0.188529611309062,0.103851074699324,0.189179003618906,0.0993389094014695,0.159516966612364,0.141875410993307,0.294805499961563,0.0404055728742364,0.149315025532099,3.35018288113214e-05,0.272001107580124,-0.15307955881896,-0.166433605098717,0.156972543457366,0.00987246830920415,0.0250229416426487,0.379420151068855,0.145988624127276,-0.0111526468300955,-0.325365875327477,0.177385110858282,0.213226598060379,0.358370392270282,0.247245075066938,0.278377080461184,0.0776286206485332,0.483522237520414,0.0410922816528534,0.00182439098886574,0.165647322021711,0.0935849624684271,0.0958039320432202,0.369829980869297,0.0512790295847428,0.378092900413277,-0.188463019434447,0.366505139244907,0.18709733928959
