"","DRUG","CName","PName","IC50_Normal","Pos","Acta_Normal","Pos_acta","ID","y","hsa00532","hsa00562","hsa00565","hsa01521","hsa01524","hsa03050","hsa03450","hsa03460","hsa04010","hsa04014","hsa04015","hsa04020","hsa04022","hsa04024","hsa04060","hsa04062","hsa04066","hsa04068","hsa04070","hsa04071","hsa04072","hsa04110","hsa04114","hsa04115","hsa04120","hsa04142","hsa04144","hsa04150","hsa04151","hsa04210","hsa04218","hsa04260","hsa04261","hsa04270","hsa04310","hsa04370","hsa04371","hsa04380","hsa04390","hsa04510","hsa04520","hsa04550","hsa04621","hsa04622","hsa04623","hsa04625","hsa04630","hsa04650","hsa04657","hsa04658","hsa04659","hsa04660","hsa04662","hsa04664","hsa04666","hsa04722","hsa04725","hsa04728","hsa04750","hsa04810","hsa04910","hsa04914","hsa04916","hsa04919","hsa04921","hsa04926","hsa04928","hsa04931","hsa04934","hsa04940","hsa05016","hsa05142","hsa05145","hsa05152","hsa05160","hsa05161","hsa05162","hsa05164","hsa05165","hsa05166","hsa05167","hsa05168","hsa05203","hsa05205","hsa05206","hsa05211","hsa05212","hsa05213","hsa05214","hsa05215","hsa05218","hsa05220","hsa05222","hsa05223","hsa05224","hsa05225","hsa05226","hsa05340","hsa05410","hsa05412","hsa05414","hsa05418","hsa00280","hsa00330","hsa00480","hsa00531","hsa00563","hsa00601","hsa00830","hsa01522","hsa01523","hsa03022","hsa04012","hsa04140","hsa04217","hsa04340","hsa04360","hsa04514","hsa04611","hsa04620","hsa04668","hsa04713","hsa04723","hsa04726","hsa04912","hsa04915","hsa04917","hsa04925","hsa04933","hsa04970","hsa05014","hsa05020","hsa05032","hsa05130","hsa05169","hsa05202","hsa05210","hsa05217","hsa05219","hsa05230","hsa00072","hsa00230","hsa00270","hsa00340","hsa00410","hsa00510","hsa00650","hsa00770","hsa00790","hsa00900","hsa00970","hsa01210","hsa03440","hsa04130","hsa04152","hsa04211","hsa04213","hsa04350","hsa04540","hsa04612","hsa04614","hsa04640","hsa04670","hsa04672","hsa04720","hsa04721","hsa04724","hsa04727","hsa04730","hsa04913","hsa04918","hsa04923","hsa04930","hsa04960","hsa04961","hsa04973","hsa05100","hsa05140","hsa05146","hsa05150","hsa05216","hsa05221","hsa05231","hsa05310","hsa05320","hsa05321","hsa05323","hsa05330","hsa05332","hsa05416","hsa00240","hsa00564","hsa01230","hsa03015","hsa03020","hsa04136","hsa04330","hsa04392","hsa04512","hsa00030","hsa00140","hsa00604","hsa03013","hsa03018","hsa03030","hsa03420","hsa03430","hsa04064","hsa04137","hsa04141","hsa04146","hsa04714","hsa04911","hsa04922","hsa04924","hsa04927","hsa04962","hsa04971","hsa04972","hsa05030","hsa05031","hsa05034","hsa05120","hsa05131","hsa05143","hsa00040","hsa00590","hsa00600","hsa00983","hsa03410","hsa04530","hsa04950","hsa04974","hsa04978","hsa00010","hsa00020","hsa00620","hsa00670","hsa03008","hsa03060","hsa00591","hsa00980","hsa00982","hsa02010","hsa04710","hsa04976","hsa05204","hsa00520","hsa03010","hsa04216","hsa04742","hsa00534","hsa04975"
"1","AZD6244","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",0.79172174532645,TRUE,-0.875128638372844,FALSE,10465,"S",0.5,1,0,0.4,0.5,0,0,0,0.75,0.666666666666667,1,1,0,0.5,0,0.5,1,0.333333333333333,0,1,0,0.25,1,0.5,0.5,0.5,0,0.75,0.4,0.666666666666667,0.2,0.5,0.666666666666667,0,1,1,0.5,1,1,0.333333333333333,0,0.666666666666667,0.666666666666667,0,1,0.666666666666667,0.5,1,1,0,0.5,0.5,1,0,0,0,0.5,0.666666666666667,0.5,1,0.5,0.5,1,0,0.5,0.333333333333333,0.5,0.666666666666667,0.5,0,0,1,0,0,0.333333333333333,0.666666666666667,0,0,0.5,1,0.666666666666667,0.333333333333333,0.5,0,0.5,0.5,0.333333333333333,0.666666666666667,0.333333333333333,0.25,0.666666666666667,0.666666666666667,0,0.333333333333333,0.666666666666667,0.333333333333333,1,0,0.5,0.5,0.5,0,0.5,0.5,1,1,0,1,0,0.25,0,1,0.6,1,0.5,1,1,1,0,0,0.5,0.5,0,0.333333333333333,0.5,0.25,0.333333333333333,0,0,0,0,0,0,0,1,1,0.666666666666667,1,1,0.5,0,1,1,0,0,0,0,0.5,0,0,0.5,1,0,0,1,0.5,1,1,0.5,0,0,0,0,0,0.5,0,1,0,1,0,0.333333333333333,0,0,1,0,0,0,0,1,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","L-685458","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",0.79172174532645,TRUE,-0.819439024489592,FALSE,9857,"S",0.5,1,0,0.6,1,1,0.666666666666667,0,0.5,0.666666666666667,0.5,1,1,0.5,1,0.5,0,0.666666666666667,0,0.5,0.5,0.5,0.5,0.75,1,0.5,0.25,0.25,1,1,0.2,0.5,0.333333333333333,1,0,0,0,0,0,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,1,0,0.5,0.5,1,0,0.5,0.5,0.5,0,0,0.333333333333333,0.5,0.666666666666667,0.5,0.333333333333333,0.25,0.5,0,1,0.5,0.666666666666667,1,0,0.5,0,0,0.5,0,0,0.666666666666667,0,0.666666666666667,0.5,1,0.666666666666667,0,0.666666666666667,1,0.333333333333333,0,0.5,0,0.666666666666667,0.666666666666667,0.5,0.333333333333333,1,0,0.333333333333333,0.666666666666667,0.666666666666667,0.25,1,0.5,1,0.5,0,0,1,1,0,1,0,0,0.5,1,0,0.4,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0.333333333333333,0,0.25,0.333333333333333,0,0,0,0,0,1,1,0.5,0,0.333333333333333,0.5,1,0.5,0,1,0,0,1,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.5,0,0,1,1,0,0.333333333333333,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","PLX4720","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",0.79172174532645,TRUE,-0.784924414954971,FALSE,9476,"0",0,1,0,0.4,1,0,0.666666666666667,0,0.5,0.333333333333333,1,1,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.6,0.666666666666667,0.4,0.5,0.333333333333333,0,1,0,1,0,0.5,0.333333333333333,0.666666666666667,1,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0.333333333333333,0.5,0.333333333333333,1,0,0,1,0.5,0,0.5,0.333333333333333,0.5,0,0.5,1,0,0,1,0,0,0,0.333333333333333,0,1,1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.5,0.25,0.666666666666667,0.333333333333333,0,0,0.666666666666667,0.333333333333333,1,0.333333333333333,0.666666666666667,0.333333333333333,0,1,0.5,0.5,0.5,0,0.5,1,1,1,0.5,0,0,0,0,0,0.2,0,0,0.5,0,0,0,0.5,0.5,1,0.5,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,1,1,0.5,0,0.333333333333333,0,1,0.5,0,1,1,0,1,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0.5,0,1,0,0,1,1,0,0.5,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"4","Sorafenib","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",0.79172174532645,TRUE,-0.782852243275595,FALSE,9454,"0",1,1,1,0.4,0.5,0,0.333333333333333,1,0.25,0,0.5,1,0,0.5,1,0,0,0.333333333333333,0,1,0,0.75,0.5,0.5,0.5,1,1,0,0.2,0.666666666666667,0.2,0,0,1,0.5,0,0.5,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,1,0,0.5,0.5,0.5,0,0,0,0,0.333333333333333,1,0,0,1,0,1,0,0,0,0,0.5,0,1,0,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0,0.333333333333333,1,0.333333333333333,0.5,0,0,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0.333333333333333,0.5,0.333333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0.5,1,1,1,0,0,0,1,0,0.2,0,0.5,0.5,0,0,0,0.5,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0.5,0,1,0,0,0,0.5,1,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"5","TAE684","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",-0.698011234685804,FALSE,-0.0796737349520601,FALSE,4254,"0",0.5,0,0,1,1,0,0.666666666666667,0.5,1,0.666666666666667,1,0,0,0.5,0.5,0.5,1,0.666666666666667,0,1,0.5,0.5,0.5,0.5,0.5,0,0.75,0.5,0.2,0.666666666666667,0.4,0.5,0.333333333333333,1,0,0.666666666666667,0.5,1,0,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0,0,1,0.5,1,1,1,1,0.75,1,1,1,1,1,0.333333333333333,1,0.666666666666667,1,1,1,1,0.5,0.666666666666667,0,0.333333333333333,0,1,0,0.5,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0.5,0,0.5,0.5,0.666666666666667,1,1,0.75,0.666666666666667,1,0.5,0.666666666666667,0,0,0.25,1,0.5,0.5,0.5,1,0.5,0.5,0,0,0.5,1,0,1,1,0,1,1,0,0,1,0,1,0.5,0.5,0.5,0.5,0.333333333333333,1,0.5,0.333333333333333,0,0.333333333333333,0,0,0,0.5,1,0.5,0.5,1,0,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0.5,0.5,0.333333333333333,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ZD-6474","1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",0.0768062374634688,TRUE,-0.292913151832933,FALSE,5287,"0",0,1,0,0.4,1,0,0.666666666666667,0,0.5,0.333333333333333,1,1,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.6,0.666666666666667,0.4,0.5,0.333333333333333,0,1,0,1,0,0.5,0.333333333333333,0.666666666666667,1,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0.333333333333333,0.5,0.333333333333333,1,0,0,1,0.5,0,0.5,0.333333333333333,0.5,0,0.5,1,0,0,1,0,0,0,0.333333333333333,0,1,1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.5,0.25,0.666666666666667,0.333333333333333,0,0,0.666666666666667,0.333333333333333,1,0.333333333333333,0.666666666666667,0.333333333333333,0,1,0.5,0.5,0.5,0,0.5,1,1,1,0.5,0,0,0,0,0,0.2,0,0,0.5,0,0,0,0.5,0.5,1,0.5,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,1,1,0.5,0,0.333333333333333,0,1,0.5,0,1,1,0,1,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0.5,0,1,0,0,1,1,0,0.5,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
