,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,Lapatinib,LBW242,Nilotinib,Nutlin-3,Paclitaxel,Panobinostat,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
hsa04620,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,2,1,1,1,1,1
hsa04668,0,1,1,1,1,2,1,1,1,2,1,0,2,1,2,1,1,1,1,0,1,1,1,1
hsa04713,0,1,1,1,1,2,1,1,1,0,1,0,0,1,0,1,1,2,1,0,1,1,1,2
hsa04723,0,1,1,0,1,2,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1
hsa04726,0,1,1,1,1,3,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
hsa04912,0,1,2,1,1,2,0,2,1,1,2,0,0,2,1,2,1,0,1,0,2,2,2,0
hsa04915,0,1,2,1,1,4,1,2,1,1,2,0,1,2,1,2,1,0,0,0,2,2,2,0
hsa04917,0,1,1,1,1,3,1,1,1,2,1,0,1,1,1,1,1,0,1,0,1,1,1,0
hsa04925,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa04933,0,2,1,0,2,2,0,1,0,3,1,1,2,1,1,1,0,1,1,0,1,1,1,1
hsa04970,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa05014,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa05020,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa05032,0,1,1,0,1,2,2,1,0,0,1,0,0,1,0,1,0,2,1,0,1,1,1,2
hsa05130,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
hsa05169,0,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1
hsa05202,0,1,1,2,1,1,0,1,2,1,1,0,0,1,1,1,2,0,2,0,1,1,1,0
hsa05210,0,2,3,2,2,0,1,3,2,3,3,0,2,3,1,3,2,1,1,1,3,3,3,1
hsa05217,0,1,0,2,1,1,1,0,2,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0
hsa05219,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1
hsa05230,0,2,2,1,2,0,1,2,1,1,2,0,2,2,0,2,1,1,0,0,2,2,2,1
hsa00072,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0
hsa00230,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
hsa00270,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1
hsa00340,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0
hsa00410,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1
hsa00510,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0
hsa00650,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0
hsa00770,0,0,1,1,0,0,1,1,1,0,1,2,0,1,1,1,1,1,0,0,1,1,1,1
hsa00790,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0
