From	To
130749_at	216154
57722_at	64282
10717_at	853700
64769_at	8797
219743_at	23493
8320_at	854384
79624_at	79834
6670_at	851334
246_at	3816
149095_at	40204
9749_at	854878
9984_at	851074
9637_at	855029
57062_at	9141
64943_at	64753
1995_at	7507
90070_at	252995
8038_at	855818
148824_at	39719
9208_at	855394
6580_at	851452
920_at	4820
54059_at	55691
55998_at	8153
10164_at	850880
64110_at	8085
11332_at	851274
93183_at	228812
79866_at	100289410
50863_at	222256
6125_at	851939
6756_at	850384
6924_at	850305
94101_at	109889
146433_at	35090
6356_at	851699
259266_at	821219
10265_at	850745
9911_at	851139
3038_at	853661
7918_at	855951
11309_at	1466534
1123_at	2692
78997_at	115294
5586_at	856889
147463_at	37161
10780_at	853652
58517_at	100507242
83697_at	10777
9344_at	855339
2696_at	854000
56128_at	55125
8021_at	855854
4848_at	853051
1816_at	5922
9702_at	854950
4829_at	853085
11069_at	853406
56938_at	9353
147646_at	37501
9618_at	855056
11254_at	853237
5932_at	851652
191585_at	192081
6017_at	852069
10761_at	853630
11113_at	853356
4065_at	854847
80228_at	101927391
10058_at	850958
154089_at	33389
6865_at	850396
54478_at	122945
5370_at	850530
7157_at	852501
9481_at	855205
9185_at	855416
6699_at	851318
8237_at	854479
89792_at	6242
254394_at	828250
64211_at	25917
115207_at	213452
1235_at	7534
5746_at	856718
55226_at	55521
192669_at	184829
613_at	3852
91775_at	8525
1386_at	5780
10276_at	850756
55750_at	4298
152006_at	38688
55017_at	149175
84230_at	57396
7762_at	856119
101_at	8798
260436_at	843142
84722_at	6543
1652_at	11040
4058_at	854840
91010_at	497259
90956_at	118932
90529_at	100506047
5023_at	852889
10201_at	850818
51023_at	440905
145264_at	32767
7341_at	852316
5007_at	852874
8839_at	855772
115330_at	319929
4867_at	853020
4081_at	854816
8924_at	855661
222584_at	55154
2588_at	854519
83541_at	55252
9778_at	854931
83656_at	79807
8854_at	855739
5695_at	856763
58483_at	100049716
7798_at	856062
2051_at	4255
11321_at	851261
113277_at	65247
6913_at	850345
4957_at	852918
91452_at	9570
64434_at	54989
59343_at	51230
84295_at	162962
1277_at	27237
10950_at	853529
55075_at	81
91754_at	573
57343_at	138255
11260_at	853218
7546_at	856324
245932_at	830788
7251_at	852412
85437_at	53904
4774_at	853123
57223_at	10008
9179_at	855411
79666_at	9532
79917_at	23216
10746_at	853681
10913_at	853584
84766_at	64708
91461_at	115704
146802_at	35808
7216_at	852422
563_at	3593
51701_at	10367
115_at	7057
6603_at	851430
7110_at	852547
8292_at	854445
84284_at	5156
10882_at	853598
84275_at	56172
201725_at	8872
6839_at	850418
4440_at	856502
148789_at	3772382
8318_at	854425
11174_at	853275
8312_at	854420
11189_at	853292
5368_at	850528
5273_at	852611
57678_at	91695
92370_at	56795
1783_at	54453
8028_at	855861
9908_at	851135
8997_at	855598
55544_at	284680
10690_at	853767
200035_at	23399
57107_at	57446
8195_at	854533
8688_at	854019
256126_at	838385
57555_at	650655
9310_at	855350
83869_at	112724
6899_at	850324
773_at	4629
64108_at	131118
8345_at	854361
7127_at	852518
54502_at	5791
11319_at	851260
51085_at	57118
55718_at	55761
65985_at	6120
7443_at	852180
54897_at	4133
146723_at	5740660
7638_at	856222
11096_at	853385
202500_at	3300
11128_at	853322
55892_at	7762
7690_at	856183
167691_at	58800
5147_at	852735
51052_at	23353
54518_at	137682
10735_at	853720
55937_at	3737
92659_at	56508
9731_at	854934
145978_at	34054
6578_at	851450
5973_at	852115
7543_at	856321
57719_at	55182
9975_at	851065
153241_at	40273
63974_at	23245
56999_at	84419
57035_at	9019
80210_at	4137
84657_at	651302
6876_at	850353
7086_at	852571
5162_at	852702
115752_at	226151
55028_at	89891
10097_at	850951
1185_at	3563
9133_at	855460
8654_at	854064
7407_at	852235
245972_at	832191
79755_at	101928550
54801_at	51239
10699_at	853729
6195_at	851868
151300_at	39049
7324_at	852346
10980_at	853510
149483_at	40983
58498_at	57563
55041_at	59343
84874_at	326624
79832_at	84838
149951_at	41867
64940_at	65996
81851_at	445372
9554_at	855091
143689_at	42550
6464_at	851566
11155_at	853302
320_at	5190
10324_at	850715
10352_at	850625
10290_at	850727
128822_at	77582
51599_at	375444
253512_at	829303
6009_at	852060
5764_at	856687
10718_at	853701
689_at	30850
4917_at	852972
55975_at	102465501
6281_at	851760
11059_at	853393
4994_at	852904
5570_at	856867
9753_at	854882
8671_at	854032
54058_at	57473
8861_at	855747
6505_at	851514
144363_at	31050
91734_at	65083
90134_at	84243
6645_at	851379
6932_at	850313
7643_at	856227
79703_at	401237
51067_at	51555
163351_at	207615
79018_at	1584
9040_at	855548
9051_at	855514
55787_at	80777
163786_at	107522
221785_at	58525
57691_at	25973
8266_at	854465
54854_at	158405
55860_at	23635
5720_at	856740
657_at	26025
8847_at	855730
4100_at	854836
9069_at	855531
6453_at	851608
154881_at	34757
11062_at	853396
113791_at	77590
81928_at	128861
8894_at	855679
5534_at	856934
92806_at	68559
149086_at	40193
6676_at	851339
219539_at	79833
55002_at	29101
9856_at	851173
5062_at	852837
84287_at	84902
140459_at	83436
5652_at	856812
7782_at	856091
6524_at	851533
7592_at	856272
131540_at	70252
84078_at	2186
4255_at	854660
9144_at	855421
8892_at	855677
153364_at	33935
64080_at	10923
9953_at	851087
5178_at	852720
84085_at	114036
6399_at	851647
6468_at	851570
84317_at	11143
5132_at	852768
145482_at	33129
755_at	3708
10898_at	853569
5210_at	852657
1213_at	6733
131377_at	414108
10180_at	850843
152742_at	40722
55909_at	162972
11019_at	853455
9581_at	855073
990_at	2321
9654_at	854998
4773_at	853168
5587_at	856890
7916_at	855949
11255_at	853238
54935_at	132160
9910_at	851137
11112_at	853355
10251_at	850776
90580_at	4886
54845_at	55728
79930_at	155370
6861_at	850392
9512_at	855143
57703_at	205564
79956_at	127733
79860_at	2255
4595_at	1466463
6774_at	850352
115650_at	338375
221336_at	474
79789_at	127933
201158_at	4836
84171_at	26526
10801_at	853669
151835_at	38772
160897_at	210992
8647_at	854057
224_at	7071
10418_at	850668
11073_at	853410
257000_at	820629
57061_at	29085
9706_at	854955
51308_at	148581
170482_at	70478
115908_at	27373
8226_at	854514
150197_at	42324
4094_at	854830
148156_at	38510
54102_at	55764
10158_at	850875
84787_at	83716
7200_at	852451
259285_at	820319
9687_at	854985
4939_at	852949
144535_at	31483
146395_at	35035
117166_at	12874
64928_at	100124541
6285_at	851764
8302_at	854411
10274_at	850754
171425_at	11864
147949_at	38104
148252_at	38681
254359_at	828331
10581_at	853842
6011_at	852063
6850_at	850377
54576_at	54756
54823_at	4939
54998_at	55740
1663_at	5916
113146_at	74097
9124_at	855451
10127_at	850889
8636_at	854093
54826_at	91694
148014_at	38254
79829_at	2996
799_at	8851
11237_at	853250
8295_at	854448
148103_at	38409
1608_at	4233
6018_at	852070
55186_at	253980
10266_at	850746
4134_at	854774
84552_at	101059949
6355_at	851698
55018_at	116841
65065_at	2918
55664_at	311
78996_at	55798
57731_at	7984
5568_at	856865
5698_at	856766
90007_at	80306
881_at	100505984
6242_at	851817
51575_at	80095
6494_at	851549
84417_at	441461
129080_at	223648
130576_at	105283
84983_at	283208
9703_at	854952
5745_at	856717
51105_at	50650
79025_at	55671
55779_at	9014
5919_at	852153
154661_at	44887
91137_at	9898
220070_at	79831
80209_at	284058
7135_at	852526
1436_at	1565
92960_at	102638292
5193_at	852688
1193_at	7337
55319_at	646588
3001_at	853977
57649_at	79810
7104_at	852541
54510_at	60678
55714_at	140828
7390_at	852264
51320_at	101927355
81545_at	4087
55599_at	84629
144501_at	31424
54467_at	388630
51611_at	63898
116064_at	68259
55705_at	91300
79070_at	9771
65012_at	340073
114799_at	242748
146562_at	35359
6535_at	851497
54072_at	79741
8897_at	855682
253012_at	829946
7155_at	852498
202_at	3298
4216_at	854666
57474_at	400986
53630_at	9603
4258_at	854663
5167_at	852708
9728_at	854904
11043_at	853429
266553_at	819224
11051_at	853436
10928_at	853551
5961_at	852102
4992_at	852902
6330_at	851717
253264_at	829541
143501_at	42737
85865_at	100996570
2849_at	851141
5051_at	852824
331_at	4137
8323_at	854387
84000_at	57511
9093_at	855511
1429_at	3630
1238_at	5601
9670_at	854970
55679_at	54502
140686_at	12721
7562_at	856293
8816_at	855794
128674_at	66769
160760_at	19272
81027_at	80146
57169_at	80315
89795_at	144132
90355_at	79616
6646_at	851380
10015_at	851007
79411_at	8663
254240_at	828449
440_at	4782
64776_at	79048
93349_at	18542
55924_at	84985
10466_at	853962
608_at	348
6712_at	851356
92979_at	18612
55036_at	89894
57102_at	79089
7874_at	855998
1133_at	2020
54101_at	2829
9576_at	855060
5101_at	852783
10497_at	853946
10105_at	850910
6632_at	851412
6247_at	851822
825_at	8899
10469_at	853965
55848_at	89792
51118_at	140738
8405_at	854329
54875_at	80824
146845_at	35889
54957_at	132158
55686_at	80223
8036_at	855869
113675_at	71720
152007_at	41877
84518_at	6783
147968_at	38151
84273_at	79866
51070_at	439949
1809_at	8317
8218_at	854506
146754_at	246651
55001_at	10964
93974_at	74155
8625_at	854082
135656_at	78913
116437_at	230648
55322_at	8609
1470_at	5425
93589_at	100862375
150379_at	42662
147807_at	37766
8891_at	855676
1384_at	5521
257218_at	820729
81562_at	3174
55954_at	5290
55503_at	79796
9166_at	855398
7288_at	852357
5685_at	856752
83862_at	392459
7343_at	852318
5723_at	856743
1351_at	2050
9681_at	854979
8473_at	854258
5533_at	856933
7178_at	852474
51131_at	7357
84134_at	4524
83401_at	5465
57095_at	4343
112858_at	73822
6364_at	851707
5350_at	850559
4898_at	853002
790_at	4803
1444_at	5715
54857_at	121260
83699_at	79158
162962_at	102941
57101_at	54986
255082_at	826497
54996_at	157869
55143_at	389766
4350_at	856597
6857_at	850388
83861_at	101928093
64112_at	80318
10021_at	851015
5569_at	856866
114609_at	72565
134510_at	67412
80110_at	1903
9312_at	855352
256987_at	822486
1855_at	2248
81610_at	25790
9531_at	855114
49855_at	79753
10765_at	853636
8303_at	854412
80765_at	148213
55032_at	51747
1373_at	6929
64718_at	574036
9452_at	855220
10370_at	850643
147912_at	38036
148523_at	39198
51192_at	54961
92714_at	15898
92399_at	12394
54627_at	79624
11013_at	853447
65977_at	83699
4311_at	856604
55827_at	54836
3054_at	853353
56169_at	220213
150596_at	43089
7754_at	856108
11196_at	853255
64847_at	100128787
146512_at	35267
6723_at	851368
5268_at	852606
1452_at	8543
4534_at	856408
1595_at	7010
1586_at	3486
10917_at	853588
9891_at	851163
8512_at	854204
54953_at	2005
56255_at	90459
54980_at	100506621
55255_at	55680
9088_at	855506
1852_at	7124
55739_at	92399
915_at	3434
55917_at	246175
89848_at	138151
84261_at	254251
152503_at	31022
9138_at	855465
5025_at	852846
56478_at	101928292
9205_at	855392
146325_at	34732
7957_at	855900
585_at	7520
8910_at	852295
65988_at	253738
57697_at	2650
4148_at	854739
7113_at	852550
85013_at	140432
49854_at	23133
254295_at	828407
6398_at	851646
83866_at	283867
6483_at	851537
55361_at	100287569
51124_at	741
260429_at	843577
114883_at	319945
4887_at	853042
57617_at	153562
810_at	100505585
11018_at	853454
4343_at	856589
10174_at	850836
5337_at	850599
862_at	5268
116988_at	12959
10181_at	850844
91752_at	3181
8557_at	854157
10040_at	850987
84067_at	80352
55558_at	54542
1522_at	8711
10485_at	853979
8724_at	854010
6490_at	851545
1164_at	7321
221472_at	10955
55215_at	54942
144571_at	31540
147525_at	37276
5130_at	852766
6509_at	851518
92973_at	20611
10906_at	853578
116461_at	56229
84313_at	100131366
116285_at	170484
8529_at	854177
8540_at	854187
83638_at	79852
11202_at	853261
90637_at	51433
10262_at	850742
55003_at	57727
255758_at	838251
256329_at	844020
10897_at	853568
57663_at	55014
79934_at	100506325
10631_at	853800
79631_at	201931
10514_at	853916
57507_at	57539
93973_at	27979
7106_at	852543
10228_at	850799
1978_at	3673
10215_at	850785
6531_at	851492
162963_at	66259
84232_at	80851
160335_at	14630
339_at	858
10669_at	853744
51596_at	102467214
55353_at	56672
79026_at	101927263
64002_at	56926
140628_at	104570
51004_at	23451
9351_at	855299
10599_at	853861
153572_at	42244
3008_at	853554
51157_at	2889
54881_at	23760
2553_at	856048
80270_at	5013
55884_at	51134
84971_at	7499
55833_at	11320
946_at	6993
148413_at	38976
7262_at	852378
7544_at	856322
245936_at	832105
55656_at	50484
54815_at	115294
7175_at	852471
116337_at	75415
10120_at	850928
85285_at	55785
11221_at	853225
201191_at	5306
362_at	5590
79152_at	6606
133022_at	215387
246213_at	829800
1839_at	5901
256933_at	821832
10055_at	850955
11024_at	853458
146279_at	34644
64231_at	55296
57050_at	54625
144360_at	318224
155061_at	33090
5588_at	856840
150709_at	43261
253982_at	828764
4171_at	854713
6938_at	4594642
54586_at	7100
5164_at	852704
253943_at	828811
8759_at	1466510
94103_at	22109
54910_at	90523
57192_at	7260
4241_at	854646
94134_at	22408
79077_at	102724511
54714_at	150468
10542_at	853895
51233_at	25885
64422_at	91404
55623_at	5295
80233_at	10369
83446_at	1757
257240_at	822006
57410_at	55818
2665_at	855673
57505_at	5927
10007_at	851051
10743_at	853678
51559_at	79849
64755_at	55037
10653_at	853776
7447_at	852184
2072_at	1010
219770_at	79712
9971_at	851061
1742_at	2065
4826_at	853081
6881_at	850359
5104_at	852787
9982_at	851071
654_at	4601
254773_at	826972
4152_at	854745
92737_at	16364
7942_at	855930
54461_at	100505501
114088_at	22317
145853_at	33819
10490_at	853939
9735_at	854864
6217_at	851839
4007_at	854598
80119_at	7178
358_at	27334
7450_at	852187
79807_at	84929
54413_at	92369
9641_at	855033
89883_at	55975
5708_at	856726
57020_at	140856
92346_at	18040
9607_at	855045
149603_at	41222
146227_at	34539
9877_at	851150
51015_at	5027
11040_at	853426
6664_at	851328
7124_at	852515
135228_at	70127
55342_at	256006
57647_at	338440
9049_at	855557
55089_at	131118
91768_at	5728
2520_at	850339
9362_at	855310
4772_at	853167
114991_at	234413
114795_at	226252
144742_at	31866
117246_at	102614
734_at	4585
5707_at	856725
90338_at	153657
1739_at	219595
6584_at	851456
5003_at	852870
55349_at	442578
146225_at	34537
79100_at	57020
170690_at	70532
203547_at	920
9764_at	854918
11099_at	853388
65999_at	81610
8929_at	855667
90268_at	4883
460_at	5316
84522_at	4927
51561_at	283450
55812_at	7767
6433_at	851636
143187_at	33841
4214_at	854710
9122_at	855449
221395_at	50838
8643_at	854053
8476_at	854261
808_at	5874
132612_at	217707
7743_at	856097
54949_at	79833
1508_at	3680
11258_at	853216
10288_at	850725
153090_at	38300
182_at	3710
55266_at	55255
8780_at	855805
5592_at	856844
6498_at	851553
55872_at	57473
2138_at	852991
5224_at	852673
5099_at	852780
84893_at	91543
9874_at	851147
5148_at	852736
51608_at	79048
64388_at	100996643
80194_at	54739
7389_at	852263
51102_at	64766
1994_at	1386
84889_at	66004
10768_at	853640
5657_at	856770
4313_at	856606
150280_at	42469
10562_at	853868
6928_at	850309
9021_at	855575
65084_at	4685
51162_at	9066
4487_at	856456
8565_at	854165
6787_at	850454
81491_at	101929198
5955_at	852144
55859_at	102724660
8689_at	854020
55233_at	90019
7403_at	852231
79627_at	221833
7627_at	856261
54968_at	3157
57473_at	152485
259215_at	820063
1675_at	5921
6591_at	851462
90525_at	23475
5367_at	850527
256536_at	840227
245802_at	841118
9020_at	855574
11044_at	853432
868_at	6881
7167_at	852512
152185_at	43437
10922_at	853545
206338_at	1995
9528_at	855159
7673_at	856212
57582_at	200734
219347_at	55270
10623_at	853839
5999_at	852096
92591_at	14857
54867_at	55183
293_at	391518
489_at	4595
91408_at	84516
221322_at	64111
1890_at	9518
3959_at	854601
65125_at	54344
10670_at	853746
10874_at	853383
57136_at	51123
57569_at	55197
81688_at	400680
1519_at	2114
147923_at	38050
51081_at	29062
5696_at	856764
94137_at	12765
201931_at	2108
10600_at	853862
5988_at	852086
5921_at	852138
8655_at	854065
8528_at	854175
1400_at	1437
2923_at	853978
348_at	3833
4141_at	854781
9855_at	851172
7776_at	856085
57664_at	4336
221061_at	9033
221294_at	2844
57544_at	64418
154743_at	33989
1486_at	5439
65010_at	100192386
9912_at	851140
5126_at	852762
11193_at	853252
57497_at	54741
255193_at	826171
8803_at	855781
56139_at	11190
9055_at	855517
6726_at	851372
51265_at	10841
6000_at	852097
1903_at	5908
675_at	8519
5300_at	850607
10881_at	853597
10947_at	853526
10525_at	853927
255101_at	826433
6092_at	852004
81575_at	387837
439_at	7472
8487_at	854225
5607_at	856859
55076_at	81873
11055_at	853439
145694_at	33534
5620_at	856825
4062_at	854844
7597_at	856277
147741_at	37667
6886_at	850367
93517_at	12834
9987_at	851028
54453_at	100505890
6897_at	850322
254102_at	828608
221303_at	29930
7879_at	855957
9909_at	851136
256364_at	842973
254427_at	827867
4495_at	856416
145837_at	33795
255743_at	839123
11336_at	851203
50831_at	55238
7248_at	852410
11234_at	853247
10146_at	850905
51218_at	399665
54752_at	79876
89932_at	84569
7455_at	852192
11148_at	853296
10269_at	850749
4815_at	853119
222950_at	79815
147650_at	5740565
8484_at	854221
9699_at	854948
3625_at	855812
8872_at	855708
9446_at	855214
65993_at	196483
115708_at	116848
51643_at	54542
219771_at	54885
93233_at	114716
80352_at	83860
79830_at	100505636
10671_at	853747
7846_at	856016
10189_at	850861
4359_at	856559
152189_at	42062
7327_at	852351
58503_at	54502
7059_at	852589
1130_at	5604
7873_at	855997
9469_at	855190
11141_at	853338
9400_at	855258
2788_at	855353
672_at	5054
9547_at	855131
8204_at	854542
80023_at	79831
6385_at	851682
147339_at	36895
7432_at	852215
10135_at	850897
57216_at	221895
6196_at	851869
5753_at	856674
116449_at	240613
57526_at	5134
1306_at	1981
9416_at	855229
8819_at	855797
5977_at	852121
8022_at	855855
4130_at	854770
80339_at	102466194
9013_at	855567
11133_at	853326
51200_at	55049
1606_at	2043
5163_at	852703
148281_at	38733
81490_at	54997
55080_at	26080
4914_at	852969
81631_at	79798
7923_at	855956
5727_at	856696
4237_at	854641
116933_at	116891
112770_at	76789
83992_at	54897
5782_at	856657
93035_at	11843
54482_at	440934
148870_at	39793
6720_at	851365
161142_at	107373
54834_at	548644
664_at	3579
9377_at	855278
152992_at	37013
116224_at	68048
785_at	11060
9745_at	854874
51234_at	729013
7374_at	852249
166614_at	72608
1635_at	25
54905_at	54802
7545_at	856323
50674_at	119391
9293_at	854944
9742_at	854871
10319_at	850710
55722_at	399959
5731_at	856699
139538_at	98710
6793_at	850462
145942_at	33995
1951_at	285
115106_at	52187
255967_at	838835
11201_at	853260
114299_at	100306957
6341_at	851727
6402_at	851650
9927_at	851108
5365_at	850579
246329_at	823458
55057_at	400569
63895_at	23504
10668_at	853789
5970_at	852112
55735_at	10526
147700_at	37600
146712_at	35618
51368_at	143471
10287_at	850722
10686_at	853763
91750_at	55917
9692_at	854940
4925_at	852980
283_at	7384
80133_at	84068
10214_at	850832
5203_at	852697
1958_at	100532742
56829_at	83696
7363_at	852288
253044_at	829883
387_at	1025
90342_at	54067
51160_at	24137
7301_at	852370
7203_at	852454
57154_at	11031
79933_at	9352
2664_at	850340
57120_at	114785
133686_at	109181
8192_at	854530
10896_at	853613
55268_at	23263
84225_at	55588
88745_at	29992
4097_at	854833
10781_at	853653
10101_at	850906
83723_at	2130
56062_at	5588
7277_at	852393
1786_at	10461
64072_at	57472
219348_at	55850
57583_at	55367
119_at	1001
54798_at	146310
253724_at	829050
50487_at	151126
56260_at	64940
9734_at	854863
8633_at	854090
7975_at	855872
1763_at	5383
51270_at	129293
