"","x"
"1",0.968132825797835
"2",1.00802213062584
"3",1.16803263749272
"4",2.41878251209158
"5",0.859473323360512
"6",1.44492657814945
"7",1.95493983273607
"8",0.871129289057007
"9",2.13256379887766
"10",2.26874433143171
"11",1.36327006290901
"12",1.39856173682339
"13",1.28731201978685
"14",0.543596652985505
"15",1.93298776400768
"16",1.88338515443259
"17",1.41967198580704
"18",1.51926573714709
"19",-0.386549409594774
"20",0.71157206974499
"21",1.55539923080623
"22",0.424252515326395
"23",3.00002666815679
"24",0.757159846691281
"25",1.85987895694466
"26",1.20759816549582
"27",0.77302491111151
"28",0.497167056294468
"29",2.42843106147368
"30",0.698426730653943
"31",0.699592327223593
"32",1.47490831213543
"33",1.00633849113635
