"","V1","V2.x","V2.y","V2.x","V2.y","V2.x","V2.y","V2.x","V2.y","V2.x","V2.y"
"1","X1",0.80686688454501,0.69612543039775,0.576144547712533,0.784065231170295,0.715265713188338,0.384657283564961,0.634058443570699,0.832033532064907,0.406169260553636,0.288154279171817
"2","X1001",0.652459555167442,0.62175125648588,0.744057947414424,0.549441448174343,0.51390189958692,0.317910456149521,0.377002087825987,0.629380030977441,0.372019556445398,0.658649274861373
"3","X1003",0.682000551164453,0.697788224626905,0.594523749716453,0.644894791108705,0.757382039243729,0.570669791324004,0.683867056784253,0.659633038966064,0.654696658179909,0.685768323320202
"4","X1004",0.436633999278932,0.736307555799765,0.629430947444235,0.555626375921354,0.639755508352914,0.525467380819381,0.72937026230812,0.708780092041381,0.699681285378507,0.744832858834375
"5","X1006",0.60572292650642,0.505444289254696,0.668551230593791,0.704882827681063,0.575763072179878,0.705544187556345,0.478729626474051,0.791382485393411,0.499650686348108,0.668870347018173
"6","X1007",0.810651199506696,0.732597646823024,0.805265458288365,0.587775741120487,0.544145536064962,0.753340382542274,0.675327333104553,0.661961212122109,0.698975330524601,0.42272655487253
"7","X1008",0.740018973096016,0.538269274444896,0.625302041634205,0.651733413831858,0.730710052190439,0.680124897013951,0.813520510426612,0.785459294800938,0.832189262793374,0.794945019504497
"8","X1009",0.549782551904483,0.409809197170908,0.700047770941167,0.751569006043826,0.513827601672038,0.549219658456183,0.692745705318038,0.578745039694474,0.768285028129276,0.522662417898319
"9","X1010",0.645036551699952,0.549687626684012,0.695260331498485,0.287699586287705,0.539287558014494,0.325131875720725,0.690317346326978,0.54607402619673,0.580782585298624,0.66595886830402
"10","X1011",0.646170969119389,0.61341469522678,0.562834984955589,0.739047571130685,0.670959336028424,0.625407094702864,0.430117556948588,0.767107296204926,0.560739109623744,0.775142336320296
"11","X1012",0.793085934860735,0.812474915231549,0.61642976776846,0.677394736581399,0.637384358410619,0.746097745486691,0.736957828966181,0.628668103460788,0.746752481559207,0.674057719139953
"12","X1013",0.631905984218001,0.65591453690965,0.707892415381604,0.812130068839953,0.323556416399731,0.730161785022099,0.702254913862227,0.67775317067805,0.654339714409997,0.621910484525757
