"","x"
"1",0.276843820253297
"2",-0.367381330864354
"3",0.640919824890641
"4",0.179344986054263
"5",0.87824491083092
"6",-0.395394344456501
"7",0.562383766331385
"8",-0.513376418421556
"9",0.493924889092423
"10",0.0731088583694594
"11",-0.351858542634477
"12",0.384764649251851
"13",-2.3895267481403
"14",-0.353497219551557
"15",-0.129567350253154
"16",-0.0148816369861376
"17",0.742244403808241
"18",-0.935435588199146
"19",-0.300065137857261
"20",-1.55393292791528
"21",-1.28969464001721
"22",-0.989244962053362
"23",0.133133092436303
