"","x"
"1",1.22698365223527
"2",1.23712177921793
"3",1.23616954765858
"4",1.22877323831402
"5",1.22807393978128
"6",1.226441991488
"7",1.23164264820312
"8",1.22946477072032
"9",1.23577518970248
"10",1.24745683706426
"11",1.2305702859472
"12",1.23524587666081
"13",1.23998447943091
"14",1.24852943295901
"15",1.24132347147011
"16",1.23261391642377
"17",1.23036648794367
"18",1.2370669784788
"19",1.23554774736082
"20",1.2328127125396
"21",1.24402979675345
"22",1.22817684550949
"23",1.23078080952137
"24",1.23058491947488
"25",1.23658987522735
"26",1.23777474018812
"27",1.23889534754003
"28",1.23331592515374
"29",1.23015440043154
"30",1.24205314984388
"31",1.23143866903839
"32",1.23694310517646
"33",1.23661878063278
"34",1.23484795552614
"35",1.2304022087244
"36",1.24450970501454
"37",1.23507609862892
"38",1.23184317043095
"39",1.24286834594063
"40",1.23008859804163
"41",1.23539836003674
"42",1.23249151445425
"43",1.22369428219986
"44",1.23933051872936
"45",1.20676975114011
"46",1.22401803261067
"47",1.23612161480825
"48",1.24434536780566
"49",1.22503145699162
"50",1.23183513338278
"51",1.23650232588018
"52",1.23065379620278
"53",1.22380402981985
"54",1.23310153666379
"55",1.22878495992498
"56",1.23078814345666
"57",1.22900986045986
"58",1.23775115880539
