"","x"
"1",-2.65340815482635
"2",0.69020529540985
"3",0.640919824890641
"4",0.897034795691589
"5",-0.558720037557414
"6",0.444514307295818
"7",0.395624370944105
"8",0.896898758423429
"9",-0.343831734144988
"10",-0.482537039092194
"11",0.447972351965395
"12",-2.25925812228706
"13",0.639247224564294
"14",0.584719384604548
"15",0.137201673488648
"16",-0.789704117419434
"17",0.328573730872486
"18",-0.219970948770055
"19",-0.715706889825447
"20",-0.706502535175495
"21",0.369897812133344
"22",-0.963717044183912
"23",-0.915145236324852
"24",-0.180468341387747
"25",-0.107296530458187
"26",-0.0782911361351134
"27",-0.314011058427243
"28",0.330501660185561
"29",0.178217835425766
"30",0.153094282673398
"31",0.115018834338278
"32",-0.285021807375609
"33",-0.247254396602883
"34",0.269449658775163
