"","ENSG00000106341","ENSG00000156469","ENSG00000175489","ENSG00000140107","ENSG00000006327","ENSG00000168148","ENSG00000167749","ENSG00000130935","ENSG00000113083","ENSG00000198218","ENSG00000189280","ENSG00000160087","ENSG00000160654","ENSG00000115524","ENSG00000058729","ENSG00000102145","ENSG00000122733","ENSG00000100450","ENSG00000100796","ENSG00000154143","ENSG00000124664","ENSG00000167670","ENSG00000105246","ENSG00000169385","ENSG00000099960","ENSG00000135374","ENSG00000146910","ENSG00000135775","ENSG00000164451","ENSG00000130766","ENSG00000058262","ENSG00000079689","ENSG00000116726","ENSG00000095906","ENSG00000138614","ENSG00000171747","ENSG00000143851","ENSG00000129221","ENSG00000221818","ENSG00000150750","ENSG00000140829","ENSG00000077498","ENSG00000132664","ENSG00000251247","ENSG00000064835","ENSG00000168876","ENSG00000133114","ENSG00000179950","ENSG00000163811","ENSG00000091164","ENSG00000156574","ENSG00000100335","ENSG00000167658","ENSG00000103067","ENSG00000173193","ENSG00000111536","ENSG00000135447","ENSG00000198791","ENSG00000113249","ENSG00000169689","ENSG00000084674","ENSG00000091704","ENSG00000127774","ENSG00000165462","ENSG00000166183","ENSG00000163534","ENSG00000148156","ENSG00000143119","ENSG00000160714","ENSG00000160917","ENSG00000196361","ENSG00000105392","ENSG00000128656"
"ENSG00000106341",1,0.0356071020927705,-0.00224304931360002,0.0159214927932622,-0.159741091581031,0.0475146725184464,0.00119644011126719,0.173382381325958,-0.0569487109657424,-0.13980870592659,-0.0803154134331856,-0.111338438236148,-0.046758457658786,0.0424877313593554,-0.00612374602569397,-0.0284938874810984,-0.0125382507769858,-0.0210699750345758,0.162361764985893,0.00226672454270076,-0.0434347270481042,0.134934148504909,-0.0708211393124543,-0.0308474934892674,0.0135175127993912,-0.0474380790152081,0.0325528698317287,0.141005667959079,-0.00615359478512153,-0.114296382112331,-0.151298579034864,0.0864310510298675,-0.0239000236579104,0.0711933703690618,0.00621945775987372,-0.0225388849284471,-0.0963167010026907,0.0910272792134314,-0.00719616435183066,-0.018081308020327,-0.0373411720732934,-0.0387680438712535,0.163312128327011,0.0730854473173904,-0.0131982351023278,-0.0256620277535304,-0.0576931890597032,-0.0658753028744358,0.0153167045334556,0.0321925491141055,-0.0128781904884498,0.119180459637897,0.1035928586958,-0.0847912501306858,-0.255192968829049,-0.0105557226134877,0.0142200886526829,0.160279357257835,-0.032905087534105,0.200848732797194,0.0169178013049789,-0.0208993925079206,-0.0147597213192079,0.0598054065465382,0.0221806645429842,-0.0313010170974411,0.258713433505238,-0.108711801050778,0.0725519249184504,0.02855740987439,0.356079663934886,0.0461940219804872,0.260470324321685
"ENSG00000156469",0.0356071020927705,1,0.104181704586231,0.104987222571348,-0.334975582920699,0.167871811508942,0.0325487223101374,0.402418595987551,-0.224143009195055,0.142223229299786,-0.185780020114474,0.129262366177622,0.121337123311284,0.164005271479082,0.242022481153126,-0.00112687115008307,0.0781066199981781,0.00968339620932558,0.177385642557699,0.000383434203188613,0.00608854611924365,0.313454139191947,0.0211862430845447,0.151603663097252,-0.114055049450928,0.115210654651605,0.0147417461091073,0.180716709758077,0.0930599547605345,0.0116837057390439,-0.232554150014436,-0.0436790956695915,0.00745957995046084,0.115213132812265,0.170524586126293,-0.107562256331542,0.220586765939721,0.0585942296650738,-0.00635419007108536,0.0660400542382745,-0.0101474972152239,-0.0249812730959187,0.100866966060813,0.279000022604757,0.00315766694902765,0.193222070916587,0.0938963864826114,0.377324326022458,0.344822847518923,0.287580099973773,0.0350865767571943,0.143846684272099,0.138723043050771,-0.128333747914064,-0.124861626734726,0.0156571718211712,0.239186519554902,0.232143579752536,-0.0988242795086228,0.0294018595717189,-0.0608565437074375,0.0629720518958132,-0.0157411403958968,-0.050854683406729,0.0690939269576595,0.0815027866718491,0.0359732180587738,0.21663668894385,0.0827719977678977,0.141633554839041,-0.00363968907183957,0.0417169504891139,-0.079084687048228
"ENSG00000175489",-0.00224304931360002,0.104181704586231,1,0.386832664097995,-0.227428966980569,0.315310505085873,0.157542445415328,0.0714357847225584,-0.135563431827823,0.253134272777378,-0.0593227085203201,0.00557027271212957,0.100286166661404,0.0670002385199046,0.195538494957705,0.106924091004129,0.152093507665721,0.147606267480971,0.173081684952643,-0.00707121077070997,0.138957746185168,0.150973429481422,0.159459719239698,0.256923108004233,0.0186971915231136,0.00983606921801466,0.079034998116624,0.215426388028164,0.192138133107079,0.0422047774244242,0.000458245523975296,-0.122601553346666,0.1423955090222,0.181989292267967,0.121109807652683,0.120913158494293,0.36820676894348,0.040410985124679,0.019511184341799,0.0614773039946201,0.168978496080174,-0.0433202528274961,-0.139594717137028,-0.0586038296375176,0.023109259261938,0.220933545185047,0.0495279231282851,-0.0541917469410263,0.15946737052842,0.0796189881887536,0.198462933817943,0.249183206161945,0.242123078978045,-0.108813891092357,0.0218475162618523,0.0741502713204954,-0.101158530551475,0.0382276728150977,-0.0888610452504254,-0.0435431145807914,0.0272064918553095,0.134785154483088,-0.0490056776135618,0.0644530780982366,0.094389862818874,0.200724252630563,0.2096153614173,0.39917401241649,-0.00170774848301723,0.0714545664489979,-0.123291303481404,0.07700197218369,-0.299860699173681
"ENSG00000140107",0.0159214927932622,0.104987222571348,0.386832664097995,1,-0.282370815298838,0.330237117643749,0.34636545809228,0.100673474354624,-0.196529461300302,0.274046453691748,-0.00825434914227644,0.118424036976358,0.107279932853811,0.161283155080169,0.269846477789433,0.140289679206469,0.192798475126612,0.11981744631095,0.18023806143287,-0.00124103975457184,0.116842733378929,0.247594874796693,0.144755077438793,0.200326839557184,0.166929630783106,0.0223108564542979,0.140721260518947,0.214447559522973,0.164559006892709,0.100153988028968,-0.0716971076952619,-0.0498690443687671,0.0429437361940553,0.263504483385506,0.0891198025231717,0.027056542053287,0.367073837118671,0.152017305777369,0.175259140203856,0.125617767131819,0.213871951590951,0.0235620918665873,-0.0957898829074926,-0.0509483510895837,0.126364610376489,0.250584471182427,0.0391485809010634,0.0166822783530021,0.290538449760087,0.011403759677062,0.310342951816715,0.266254569905286,0.302703730155269,-0.0942371664221121,-0.0279693900671725,0.0666309295967976,-0.0882206046017834,0.0384146967149812,-0.0507684393691742,-0.036712298390658,0.0531349646545844,0.205481637560431,0.031418520553489,-0.0382253559788776,0.421040933266942,0.285948410703744,0.190942771733117,0.414027572814496,0.0326124315528029,0.0697636851525319,-0.100236145917893,0.124072166471767,-0.370254579934353
"ENSG00000006327",-0.159741091581031,-0.334975582920699,-0.227428966980569,-0.282370815298838,1,-0.308487267135249,-0.188898578981302,-0.382622842427803,0.532078356048135,-0.275719643500092,0.295659502139421,-0.184264195090521,-0.222805052708452,-0.415403084968363,-0.287847931799496,-0.115857016545898,-0.16055353546293,-0.082103959074061,-0.490004905010895,-0.0332422874404853,0.0830471945448247,-0.486654815341484,-0.224800121536155,-0.142507159911106,-0.0666363760449698,0.106175090913977,-0.155756057278839,-0.351836506704226,-0.076620327767099,-0.128758360814455,0.267911838174127,-0.136289105759801,-0.0980238860297384,-0.29930870919343,-0.198713676746779,0.0703208599981911,-0.440499234362791,-0.115211014156097,-0.0876295818290718,-0.127187928228223,-0.195949594138675,0.00495485764119351,-0.104803540959031,-0.439719685038647,-0.0751984296227661,-0.500845445563792,-0.289608593106729,0.0510654141449609,-0.270785390491438,-0.473982519486071,-0.119339138427175,-0.410919748768348,-0.365284486194987,0.373039017856339,0.129482486672729,-0.0339424791655487,-0.140783444533744,-0.411346143643543,0.267644667611281,0.0705375020112912,-0.0777977709408941,-0.146679354561922,0.16183190578484,-0.22160936285366,-0.174763980057608,-0.283506642713955,-0.14192929340801,-0.567100346250877,-0.250493780422806,-0.275850747991721,-0.294318771777413,-0.0895345376986327,0.122591938457672
"ENSG00000168148",0.0475146725184464,0.167871811508942,0.315310505085873,0.330237117643749,-0.308487267135249,1,0.276361425794237,0.279899830005463,-0.206314375020053,0.109661688373867,-0.132722282969894,0.0552643659907235,0.129278334498868,0.252455991413935,0.18767402433276,0.207784050992436,0.120639501167527,0.0448800429985542,0.192132914057223,0.124420604640424,0.141376410800172,0.309227159904914,0.0291127022105115,0.237627578411465,0.0654305581479144,-0.0371976901039367,0.0544317859722874,0.169397442856164,0.0246442023014829,-0.019493051217523,-0.142018758788044,0.0177403595850584,0.12926900644355,0.239971357509309,0.164821081946612,0.0910009406248046,0.341872015253505,0.0789027460839164,0.141896772258823,0.00150378804949273,0.114314447685054,-0.0773625410507458,0.0275223995483555,0.0558608547884744,0.103682640405019,0.137949478981355,0.104727071736948,0.126060837613472,0.268981517394829,0.129635595378799,0.16723270503613,0.181222681769636,0.29158523006808,-0.097797838752809,-0.202697062815069,0.0509502432289163,0.0236848287349214,0.224834670782381,-0.0272184395014852,0.0742606272260572,0.046454431987804,0.173372149387994,-0.122922256089198,0.10942610050379,0.0739182682563476,0.159196860375646,0.146460918962861,0.28063974866381,0.0240869317598019,0.189213305215751,0.0858424408335946,0.0799004891165055,-0.190596441325089
"ENSG00000167749",0.00119644011126719,0.0325487223101374,0.157542445415328,0.34636545809228,-0.188898578981302,0.276361425794237,0.999999999999999,0.0216501737094013,-0.0890040518457691,0.142524637787051,-0.0452091689864966,0.0398025513267612,0.053963845118435,0.0416917295605198,0.135769600785329,0.0345310848260262,0.0814814776872147,0.0443254056120845,0.0432956881194559,0.0507847426550565,0.286433612408467,0.0750044525477888,0.0536314422744745,0.0171797336801441,0.0883172281392957,0.000992609762493013,0.0253578490952685,0.103870900433043,0.0602451556504121,0.010158300239625,0.0131475882452378,-0.00125647485697025,0.0515816947117562,0.17079025163826,0.0490269912167861,0.055081539299332,0.0876535414899069,0.0741624505105913,0.0937949896437072,0.0469569337333821,0.0900639886146807,-0.0343266790698985,0.0208841135764521,-0.000190686222008023,0.0633294268194211,0.0565203952861404,-0.0452894832321739,-0.00183685690401937,0.109936915067645,0.0288580806080528,0.077903771097237,0.13815924951309,0.132735945447446,0.0757569804978022,-0.0831731372045196,0.0386463268296708,-0.000656021326410076,0.0301549649091135,-0.0466926260122824,0.0660990600571063,0.020287794869702,0.0916357444421929,0.0911633550918998,0.0955148025836498,0.156422003048366,0.0514714435488421,0.0672784164832617,0.0994757096167751,-0.0119562066576111,-0.00483692886121304,0.0234108943306155,0.0850635738951211,-0.136972243966256
"ENSG00000130935",0.173382381325958,0.402418595987551,0.0714357847225584,0.100673474354624,-0.382622842427803,0.279899830005463,0.0216501737094013,1,-0.353698288753346,0.140899546377071,-0.150425289693699,0.105909803622624,0.181860015649426,0.316149678707415,0.314188623112067,0.136561510736957,0.0594846415751608,-0.0583673324245182,0.228734803683689,0.023153032809425,0.0104442431389016,0.45388918988891,-0.113510845330904,0.034817385001013,-0.00608397657913429,-0.0399503323919271,-0.0629620670258392,0.291468067008045,0.0863061361267318,-0.076866658900578,-0.222639561889899,-0.0809738386186466,0.0503824327579638,0.271799858245377,0.219229357925559,-0.0371892956369349,0.186697930238331,0.00854714524143464,-0.0255567933669569,0.0720712658398366,0.18319255908028,-0.0744835218289383,0.223170185491766,0.278833649827815,-0.0482034653466748,0.225138393166986,0.216573320655496,0.255563982431944,0.52550186439793,0.319131303140531,0.0665549191503525,0.262800704756916,0.190939661011187,-0.139746355405634,-0.295372500992189,-0.0433691445230182,0.0795133220960568,0.402724308546559,-0.0820584681730832,0.358726008922892,-0.00631783202688954,0.00825292041710978,-0.0229052677910673,0.226224936092701,0.00230761940299687,0.111519001342875,0.0803569651818732,0.173184220114852,0.247664585559761,0.272662248214223,0.197521731986292,0.0257983039262491,-0.000793483259681886
"ENSG00000113083",-0.0569487109657424,-0.224143009195055,-0.135563431827823,-0.196529461300302,0.532078356048135,-0.206314375020053,-0.0890040518457691,-0.353698288753346,0.999999999999999,-0.137424921436656,-0.0247919755245831,-0.184245276313911,-0.107825054901224,-0.206748020053247,-0.11104722560395,-0.116246195333362,-0.117716447107735,-0.0904544104729836,-0.338182956488171,0.0915945779142238,-0.0746793705262992,-0.352254003238366,-0.121484456515116,-0.115185318904585,-0.0936181974477946,-0.0409618462533131,-0.145777497989395,-0.457552919876001,-0.0657434674532542,-0.108317262644341,0.229183131642287,-0.0711954127992313,-0.062150679466088,-0.293421091230547,-0.263157242682158,-0.116913367762107,-0.282934274026446,-0.0535008923590535,-0.0426552858216351,-0.0852099237503011,-0.127674240838911,-0.0591358992052981,0.00302170081395634,-0.1706395774583,-0.0451633057838677,-0.447492428898075,-0.207354801000995,-0.119716037308065,-0.300981066308972,-0.257541710554771,-0.117565005108145,-0.322824004837552,-0.170088667247405,-0.0903539306948109,0.0345686944203045,-0.0537289081366856,-0.0809835689949136,-0.170678846068456,0.109286293920905,-0.0616724226166277,-0.0937224810814481,-0.102354258540337,-0.027686820056964,-0.0598198847667643,-0.0974889746576055,-0.151096778033105,-0.0890459141729714,-0.339960552175536,-0.316433310081637,-0.237711542560912,-0.134354159791494,-0.00954006986303122,0.282361475522465
"ENSG00000198218",-0.13980870592659,0.142223229299786,0.253134272777378,0.274046453691748,-0.275719643500092,0.109661688373867,0.142524637787051,0.140899546377071,-0.137424921436656,1,-0.0651381528915985,0.152095818796577,0.273824202738806,0.174219824943346,0.296344565956642,0.075478350280575,0.119441188182254,0.116697119653116,0.238355793233315,-0.0296888679398646,-0.0724699301383716,0.291974940874967,0.127393941831693,0.149575200799122,-0.023052215933897,0.000728942085663482,0.0721323630937973,0.245101594198064,0.189341224305909,0.203620908502713,-0.0842649973724937,-0.244469152871377,0.0972197088105524,0.0344225051854307,0.234743155139438,-0.0617395594699532,0.405993440562523,0.101286170577157,0.0915052587304059,-0.032722791616334,0.239430036971417,-0.0784910334714351,-0.111678912101419,0.10625945511536,0.0787392443939017,0.218993026277413,0.148925709587222,0.0734033757816467,0.2410116843171,0.0623254872205011,0.157074131021859,0.277021267112831,0.233469169964578,-0.219129108944705,0.134519334975563,0.125316921334171,-0.00751914056445231,0.0430033074276766,-0.169196163604537,-0.184604828989223,0.0633148203128371,0.136516148695054,0.0347175448041611,-0.0847955819102887,0.179106397178655,0.215720467125486,0.0622815519431893,0.463424549158456,0.053667901668064,0.0734814706808554,-0.316904200133626,0.172508329380472,-0.314636535942404
