"","x"
"1",-0.121630798502382
"2",-1.21238569178484
"3",-0.105986871074944
"4",0.104483400633639
"5",0.200136643963351
"6",0.366581265879829
"7",0.0998599920800767
"8",0.239170823047022
"9",0.5593300683041
"10",0.377960361951428
"11",0.440173788420599
"12",0.500240965289152
"13",0.58437963691272
"14",0.493180994286035
"15",-0.172224158519959
"16",0.407329288410883
"17",-0.771948037463669
"18",-0.406967592095458
"19",0.0360010788862576
"20",-0.00862899213314883
"21",-0.317825053179415
"22",-0.776796369194695
"23",-0.100255843440797
"24",0.102484845893625
"25",0.409420571816506
"26",-0.650563805068571
"27",0.579646857602781
"28",0.0725604600951372
"29",0.210181527655892
"30",0.498147878744032
"31",0.565225909539199
"32",-0.38423798045228
"33",-0.0873652028715323
"34",0.752782605036411
"35",0.0950029698078682
"36",-0.406090682496543
"37",0.161385543000881
"38",0.271158543588929
"39",-0.522260423909106
"40",0.575770850370735
"41",-1.05669020885802
"42",-0.272503042157857
