From	To
ENSG00000003402	8837
ENSG00000176246	122742
ENSG00000003400	843
ENSG00000123064	79039
ENSG00000186675	139599
ENSG00000174106	23592
ENSG00000176248	29882
ENSG00000174109	283951
ENSG00000073146	54456
ENSG00000008988	6224
ENSG00000232307	282706
ENSG00000073150	56666
ENSG00000176253	390433
ENSG00000197647	163059
ENSG00000184564	84189
ENSG00000197646	80380
ENSG00000176256	127540
ENSG00000234560	219869
ENSG00000197641	5275
ENSG00000063854	3029
ENSG00000176261	339487
ENSG00000184557	9021
ENSG00000174123	81793
ENSG00000197653	196385
ENSG00000197658	283238
ENSG00000042445	54884
ENSG00000073169	83642
ENSG00000174125	7096
ENSG00000197651	196477
ENSG00000101199	55738
ENSG00000101197	79444
ENSG00000101198	128414
ENSG00000118434	81833
ENSG00000042429	9440
ENSG00000066294	8832
ENSG00000101191	11083
ENSG00000186642	5138
ENSG00000101190	10732
ENSG00000186648	90668
ENSG00000118432	1268
ENSG00000101194	63910
ENSG00000107036	57589
ENSG00000101193	54994
ENSG00000188783	5549
ENSG00000188784	30814
ENSG00000188785	147694
ENSG00000003436	7035
ENSG00000184500	5627
ENSG00000188786	4520
ENSG00000184502	2520
ENSG00000188782	378807
ENSG00000186628	123722
ENSG00000101187	28231
ENSG00000101188	4923
ENSG00000101189	55257
ENSG00000012822	57658
ENSG00000176209	114926
ENSG00000107021	54662
ENSG00000101181	26164
ENSG00000176208	79915
ENSG00000107020	55848
ENSG00000101180	11255
ENSG00000188778	155
ENSG00000186635	116985
ENSG00000188779	390598
ENSG00000101182	5688
ENSG00000012817	8284
ENSG00000176204	80059
ENSG00000186638	347240
ENSG00000176200	219986
ENSG00000188770	26254
ENSG00000188771	349633
ENSG00000158571	5207
ENSG00000184517	162239
ENSG00000118418	9324
ENSG00000107018	6013
ENSG00000118412	9994
ENSG00000198298	220992
ENSG00000107014	6019
ENSG00000186666	144233
ENSG00000176219	122748
ENSG00000040199	23035
ENSG00000197683	388818
ENSG00000186665	284018
ENSG00000184524	51286
ENSG00000158578	212
ENSG00000184508	374659
ENSG00000184507	256646
ENSG00000118420	90025
ENSG00000176225	25914
ENSG00000197696	4828
ENSG00000197694	6709
ENSG00000184515	340542
ENSG00000176222	342908
ENSG00000196139	8644
ENSG00000055211	116254
ENSG00000196136	12
ENSG00000072080	6694
ENSG00000196131	317701
ENSG00000107077	23081
ENSG00000196132	4661
ENSG00000186603	84842
ENSG00000119522	57706
ENSG00000101150	7165
ENSG00000198276	100302137
ENSG00000101152	80331
ENSG00000126709	2537
ENSG00000119523	85365
ENSG00000198271	85289
ENSG00000101158	51497
ENSG00000198270	89894
ENSG00000126705	27245
ENSG00000183808	389677
ENSG00000183807	221303
ENSG00000183801	283298
ENSG00000066248	25791
ENSG00000004534	10180
ENSG00000124593	29964
ENSG00000198283	219968
ENSG00000198284	255330
ENSG00000198286	84433
ENSG00000159618	221188
ENSG00000196141	26010
ENSG00000077585	7107
ENSG00000119535	1441
ENSG00000101144	655
ENSG00000119537	2531
ENSG00000101146	8480
ENSG00000124596	221443
ENSG00000018408	25937
ENSG00000244005	9054
ENSG00000196116	23424
ENSG00000196118	90835
ENSG00000183833	89876
ENSG00000198258	59286
ENSG00000196119	390275
ENSG00000183831	339416
ENSG00000186625	11104
ENSG00000066279	259266
ENSG00000198252	6815
ENSG00000196110	374879
ENSG00000119508	8013
ENSG00000183826	114781
ENSG00000157483	4643
ENSG00000244038	1650
ENSG00000124587	5190
ENSG00000124588	4835
ENSG00000119509	27130
ENSG00000196126	3123
ENSG00000124571	57510
ENSG00000124570	5269
ENSG00000198265	9931
ENSG00000101162	81027
ENSG00000101160	1522
ENSG00000101161	24148
ENSG00000233041	644844
ENSG00000196123	653319
ENSG00000055208	23118
ENSG00000019991	3082
ENSG00000019995	54764
ENSG00000101166	51012
ENSG00000119514	79695
ENSG00000183813	1233
ENSG00000244025	337970
ENSG00000183814	286826
ENSG00000124574	89845
ENSG00000124575	3007
ENSG00000198231	11325
ENSG00000151176	196463
ENSG00000159648	374739
ENSG00000184584	340061
ENSG00000007392	55692
ENSG00000184588	5142
ENSG00000072041	55117
ENSG00000183853	55243
ENSG00000159640	1636
ENSG00000197622	56882
ENSG00000197620	91966
ENSG00000176273	159371
ENSG00000244057	353144
ENSG00000126746	171017
ENSG00000197619	284370
ENSG00000215114	137886
ENSG00000233016	84973
ENSG00000101115	57167
ENSG00000151164	144715
ENSG00000078795	27039
ENSG00000184571	440822
ENSG00000198246	55315
ENSG00000196109	163223
ENSG00000197635	1803
ENSG00000184574	57121
ENSG00000159658	9813
ENSG00000184575	11260
ENSG00000183844	54097
ENSG00000196104	50859
ENSG00000183840	2863
ENSG00000159650	131669
ENSG00000101109	6789
ENSG00000176281	79317
ENSG00000126733	117154
ENSG00000197629	219972
ENSG00000183837	29944
ENSG00000101104	80336
ENSG00000007372	5080
ENSG00000073111	4171
ENSG00000151151	253430
ENSG00000151150	288
ENSG00000007376	113000
ENSG00000107099	81704
ENSG00000066230	6550
ENSG00000183873	6331
ENSG00000123095	79365
ENSG00000197601	84188
ENSG00000123094	11228
ENSG00000198218	54870
ENSG00000123096	8082
ENSG00000176294	390429
ENSG00000123091	26994
ENSG00000183876	340075
ENSG00000198216	777
ENSG00000197603	65250
ENSG00000159625	84229
ENSG00000072062	5566
ENSG00000176293	7694
