"","x"
"291","GO:0015849"
"292","GO:0015850"
"293","GO:0015865"
"294","GO:0015867"
"295","GO:0015868"
"296","GO:0015893"
"297","GO:0015914"
"298","GO:0015918"
"299","GO:0015931"
"300","GO:0016024"
"301","GO:0016042"
"302","GO:0016072"
"303","GO:0016101"
"304","GO:0016125"
"305","GO:0016126"
"306","GO:0016254"
"307","GO:0016338"
"308","GO:0016444"
"309","GO:0016445"
"310","GO:0016446"
"311","GO:0016447"
"312","GO:0016458"
"313","GO:0016556"
"314","GO:0016570"
"315","GO:0016571"
"316","GO:0016925"
"317","GO:0017145"
"318","GO:0017187"
"319","GO:0018022"
"320","GO:0018027"
"321","GO:0018108"
"322","GO:0018146"
"323","GO:0018200"
"324","GO:0018205"
"325","GO:0018206"
"326","GO:0018212"
"327","GO:0018214"
"328","GO:0018958"
"329","GO:0019058"
"330","GO:0019068"
"331","GO:0019076"
"332","GO:0019079"
"333","GO:0019080"
"334","GO:0019083"
"335","GO:0019216"
"336","GO:0019217"
"337","GO:0019218"
"338","GO:0019226"
"339","GO:0019228"
"340","GO:0019336"
"341","GO:0019433"
"342","GO:0019439"
"343","GO:0019692"
"344","GO:0019722"
"345","GO:0019730"
"346","GO:0019731"
"347","GO:0019748"
"348","GO:0019827"
"349","GO:0019915"
"350","GO:0019932"
"351","GO:0021511"
"352","GO:0021513"
"353","GO:0021514"
"354","GO:0021515"
"355","GO:0021516"
"356","GO:0021517"
"357","GO:0021520"
"358","GO:0021521"
"359","GO:0021522"
"360","GO:0021527"
"361","GO:0021782"
"362","GO:0021983"
"363","GO:0022011"
"364","GO:0022600"
"365","GO:0022602"
"366","GO:0022613"
"367","GO:0022617"
"368","GO:0023061"
"369","GO:0030032"
"370","GO:0030038"
"371","GO:0030048"
"372","GO:0030049"
"373","GO:0030072"
"374","GO:0030073"
"375","GO:0030098"
"376","GO:0030100"
"377","GO:0030157"
"378","GO:0030193"
"379","GO:0030194"
"380","GO:0030198"
"381","GO:0030205"
"382","GO:0030206"
"383","GO:0030207"
"384","GO:0030208"
"385","GO:0030216"
"386","GO:0030217"
"387","GO:0030219"
"388","GO:0030239"
"389","GO:0030258"
"390","GO:0030299"
"391","GO:0030301"
"392","GO:0030317"
"393","GO:0030318"
"394","GO:0030323"
"395","GO:0030324"
"396","GO:0030325"
"397","GO:0030326"
"398","GO:0030397"
"399","GO:0030500"
"400","GO:0030518"
"401","GO:0030520"
"402","GO:0030522"
"403","GO:0030574"
"404","GO:0030705"
"405","GO:0030728"
"406","GO:0030968"
"407","GO:0031032"
"408","GO:0031033"
"409","GO:0031034"
"410","GO:0031047"
"411","GO:0031069"
"412","GO:0031099"
"413","GO:0031100"
"414","GO:0031102"
"415","GO:0031103"
"416","GO:0031268"
"417","GO:0031269"
"418","GO:0031272"
"419","GO:0031274"
"420","GO:0031331"
"421","GO:0031424"
"422","GO:0031503"
"423","GO:0031532"
"424","GO:0031641"
"425","GO:0031643"
"426","GO:0031644"
"427","GO:0031646"
"428","GO:0031647"
"429","GO:0031667"
"430","GO:0032196"
"431","GO:0032231"
"432","GO:0032233"
"433","GO:0032239"
"434","GO:0032288"
"435","GO:0032292"
"436","GO:0032331"
"437","GO:0032368"
"438","GO:0032369"
"439","GO:0032371"
"440","GO:0032372"
"441","GO:0032374"
"442","GO:0032375"
"443","GO:0032386"
"444","GO:0032392"
"445","GO:0032410"
"446","GO:0032418"
"447","GO:0032434"
"448","GO:0032436"
"449","GO:0032479"
"450","GO:0032480"
"451","GO:0032481"
"452","GO:0032508"
"453","GO:0032509"
"454","GO:0032606"
"455","GO:0032608"
"456","GO:0032611"
"457","GO:0032612"
"458","GO:0032635"
"459","GO:0032637"
"460","GO:0032640"
"461","GO:0032648"
"462","GO:0032651"
"463","GO:0032652"
"464","GO:0032675"
"465","GO:0032677"
"466","GO:0032680"
"467","GO:0032691"
"468","GO:0032692"
"469","GO:0032703"
"470","GO:0032728"
"471","GO:0032755"
"472","GO:0032757"
"473","GO:0032760"
"474","GO:0032835"
"475","GO:0032844"
"476","GO:0032845"
"477","GO:0032963"
"478","GO:0032970"
"479","GO:0033003"
"480","GO:0033004"
"481","GO:0033006"
"482","GO:0033044"
"483","GO:0033143"
"484","GO:0033146"
"485","GO:0033273"
"486","GO:0033275"
"487","GO:0033344"
"488","GO:0033500"
"489","GO:0033700"
"490","GO:0033750"
"491","GO:0033753"
"492","GO:0033865"
"493","GO:0033875"
"494","GO:0034032"
"495","GO:0034035"
"496","GO:0034103"
"497","GO:0034113"
"498","GO:0034114"
"499","GO:0034219"
"500","GO:0034248"
"501","GO:0034308"
"502","GO:0034340"
"503","GO:0034367"
"504","GO:0034368"
"505","GO:0034369"
"506","GO:0034370"
"507","GO:0034372"
"508","GO:0034374"
"509","GO:0034375"
"510","GO:0034377"
"511","GO:0034380"
"512","GO:0034381"
"513","GO:0034389"
"514","GO:0034394"
"515","GO:0034433"
"516","GO:0034434"
"517","GO:0034435"
"518","GO:0034446"
"519","GO:0034470"
"520","GO:0034605"
"521","GO:0034620"
"522","GO:0034629"
"523","GO:0034655"
"524","GO:0034762"
"525","GO:0034765"
"526","GO:0034968"
"527","GO:0034976"
"528","GO:0035019"
"529","GO:0035025"
"530","GO:0035050"
"531","GO:0035107"
"532","GO:0035108"
"533","GO:0035113"
"534","GO:0035115"
"535","GO:0035136"
"536","GO:0035162"
"537","GO:0035272"
"538","GO:0035315"
"539","GO:0035376"
"540","GO:0035428"
"541","GO:0035435"
"542","GO:0035637"
"543","GO:0035725"
"544","GO:0035735"
"545","GO:0035855"
"546","GO:0035886"
"547","GO:0035890"
"548","GO:0035891"
"549","GO:0035966"
"550","GO:0035967"
"551","GO:0036005"
"552","GO:0036006"
"553","GO:0036075"
"554","GO:0036092"
"555","GO:0036119"
"556","GO:0036230"
"557","GO:0036257"
"558","GO:0036258"
"559","GO:0036314"
"560","GO:0036465"
"561","GO:0036499"
"562","GO:0038083"
"563","GO:0038127"
"564","GO:0039702"
"565","GO:0042073"
"566","GO:0042108"
"567","GO:0042110"
"568","GO:0042116"
"569","GO:0042119"
"570","GO:0042157"
"571","GO:0042158"
"572","GO:0042176"
"573","GO:0042219"
"574","GO:0042228"
"575","GO:0042254"
"576","GO:0042255"
"577","GO:0042267"
"578","GO:0042273"
"579","GO:0042304"
"580","GO:0042339"
"581","GO:0042340"
"582","GO:0042391"
"583","GO:0042403"
"584","GO:0042423"
"585","GO:0042438"
"586","GO:0042440"
"587","GO:0042445"
"588","GO:0042447"
"589","GO:0042454"
"590","GO:0042474"
"591","GO:0042490"
"592","GO:0042493"
"593","GO:0042503"
"594","GO:0042506"
"595","GO:0042508"
"596","GO:0042509"
"597","GO:0042510"
"598","GO:0042511"
"599","GO:0042516"
"600","GO:0042517"
"601","GO:0042522"
"602","GO:0042523"
"603","GO:0042531"
"604","GO:0042542"
"605","GO:0042552"
"606","GO:0042572"
"607","GO:0042593"
"608","GO:0042632"
"609","GO:0042698"
"610","GO:0042743"
"611","GO:0043010"
"612","GO:0043030"
"613","GO:0043032"
"614","GO:0043062"
"615","GO:0043094"
"616","GO:0043097"
"617","GO:0043122"
"618","GO:0043123"
"619","GO:0043149"
"620","GO:0043161"
"621","GO:0043162"
"622","GO:0043174"
"623","GO:0043252"
"624","GO:0043266"
"625","GO:0043300"
"626","GO:0043303"
"627","GO:0043304"
"628","GO:0043312"
"629","GO:0043330"
"630","GO:0043331"
"631","GO:0043388"
"632","GO:0043401"
"633","GO:0043473"
"634","GO:0043534"
"635","GO:0043550"
"636","GO:0043551"
"637","GO:0043552"
"638","GO:0043555"
"639","GO:0043558"
"640","GO:0043583"
"641","GO:0043588"
"642","GO:0043616"
"643","GO:0043627"
"644","GO:0043687"
"645","GO:0043691"
"646","GO:0043900"
"647","GO:0043901"
"648","GO:0043903"
"649","GO:0043981"
"650","GO:0043982"
"651","GO:0044033"
"652","GO:0044057"
"653","GO:0044058"
"654","GO:0044089"
"655","GO:0044236"
"656","GO:0044241"
"657","GO:0044242"
"658","GO:0044243"
"659","GO:0044247"
"660","GO:0044259"
"661","GO:0044270"
"662","GO:0044273"
"663","GO:0044331"
"664","GO:0044550"
"665","GO:0044766"
"666","GO:0044782"
"667","GO:0044803"
"668","GO:0044839"
"669","GO:0044843"
"670","GO:0045017"
"671","GO:0045069"
"672","GO:0045071"
"673","GO:0045123"
"674","GO:0045190"
"675","GO:0045191"
"676","GO:0045214"
"677","GO:0045414"
"678","GO:0045494"
"679","GO:0045576"
"680","GO:0045723"
"681","GO:0045732"
"682","GO:0045741"
"683","GO:0045742"
"684","GO:0045747"
"685","GO:0045787"
"686","GO:0045830"
"687","GO:0045833"
"688","GO:0045834"
"689","GO:0045840"
"690","GO:0045861"
"691","GO:0045862"
"692","GO:0045911"
"693","GO:0045920"
"694","GO:0045923"
"695","GO:0045940"
"696","GO:0046131"
"697","GO:0046133"
"698","GO:0046134"
"699","GO:0046135"
"700","GO:0046148"
"701","GO:0046189"
"702","GO:0046339"
"703","GO:0046341"
"704","GO:0046386"
"705","GO:0046415"
"706","GO:0046426"
"707","GO:0046427"
"708","GO:0046461"
"709","GO:0046464"
"710","GO:0046470"
"711","GO:0046473"
"712","GO:0046474"
"713","GO:0046486"
"714","GO:0046488"
"715","GO:0046503"
"716","GO:0046545"
"717","GO:0046579"
"718","GO:0046599"
"719","GO:0046605"
"720","GO:0046607"
"721","GO:0046660"
"722","GO:0046683"
"723","GO:0046700"
"724","GO:0046755"
"725","GO:0046777"
"726","GO:0046794"
"727","GO:0046825"
"728","GO:0046827"
"729","GO:0046831"
"730","GO:0046849"
"731","GO:0046850"
"732","GO:0046879"
"733","GO:0046883"
"734","GO:0046889"
"735","GO:0046942"
"736","GO:0048008"
