"","x"
"640",4
"641",3
"642",0
"643",13
"644",11
"645",44
"646",7
"647",14
"648",0
"649",5
"650",3
"651",0
"652",1
"653",7
"654",0
"655",42
"656",45
"657",4
"658",3
"659",14
"660",6
"661",0
"662",5
"663",3
"664",10
"665",4
"666",0
"667",13
"668",29
"669",0
"670",17
"671",3
"672",0
"673",16
"674",3
"675",5
"676",5
"677",4
"678",1
"679",6
"680",5
"681",1
"682",6
"683",26
"684",8
"685",0
"686",0
"687",0
"688",2
"689",4
"690",3
"691",0
"692",0
"693",8
"694",4
"695",22
"696",0
"697",2
"698",6
"699",23
"700",8
"701",19
"702",34
"703",5
"704",59
"705",6
"706",3
"707",0
"708",0
"709",0
"710",0
"711",1
"712",3
"713",11
"714",0
"715",15
"716",1
"717",2
"718",50
"719",12
"720",4
"721",9
"722",0
"723",8
"724",0
"725",4
"726",27
"727",45
"728",1
"729",0
"730",3
"731",20
"732",8
"733",31
"734",10
"735",1
"736",8
"737",0
"738",2
"739",0
"740",26
"741",5
"742",0
"743",4
"744",11
"745",42
"746",1
"747",18
"748",0
"749",13
"750",3
"751",24
"752",4
"753",6
"754",0
"755",66
"756",8
"757",1
"758",0
"759",11
"760",34
"761",9
"762",5
"763",11
"764",6
"765",0
"766",42
"767",0
"768",43
"769",18
"770",0
"771",8
"772",0
"773",45
"774",16
"775",8
"776",17
"777",0
"778",70
"779",9
"780",20
"781",10
"782",10
"783",8
"784",28
"785",10
"786",4
"787",0
"788",4
"789",6
"790",26
"791",1
"792",0
"793",9
"794",0
"795",0
"796",22
"797",5
"798",4
"799",14
"800",13
"801",3
"802",36
"803",6
"804",4
"805",2
"806",0
"807",7
"808",3
"809",1
"810",8
"811",0
"812",10
"813",16
"814",28
"815",6
"816",0
"817",45
"818",0
"819",1
"820",0
"821",0
"822",0
"823",0
"824",1
"825",3
"826",2
"827",5
"828",4
"829",10
"830",51
"831",0
"832",3
"833",10
"834",4
"835",0
"836",3
"837",0
"838",0
"839",17
"840",46
"841",1
"842",1
"843",3
"844",0
"845",9
"846",36
"847",1
"848",8
"849",0
"850",43
"851",10
"852",9
"853",3
"854",0
"855",15
"856",6
"857",13
"858",1
"859",47
"860",0
"861",27
"862",9
"863",10
"864",14
"865",3
"866",3
"867",19
"868",1
"869",4
"870",4
"871",1
"872",18
"873",3
"874",41
"875",0
"876",6
"877",68
"878",1
"879",4
"880",8
"881",3
"882",13
"883",5
"884",15
"885",0
"886",0
"887",0
"888",70
"889",0
"890",0
"891",5
"892",11
"893",8
"894",1
"895",3
"896",14
"897",2
"898",12
"899",5
"900",1
"901",15
"902",15
"903",1
"904",40
"905",40
"906",42
"907",0
"908",0
"909",3
"910",3
"911",8
"912",37
"913",3
"914",4
"915",4
"916",1
"917",24
"918",6
"919",3
"920",21
"921",4
"922",14
"923",1
"924",1
"925",5
"926",0
"927",16
"928",11
"929",10
"930",36
"931",4
"932",5
"933",7
"934",0
"935",8
"936",0
"937",5
"938",0
"939",46
"940",6
"941",5
"942",1
"943",4
"944",9
"945",1
"946",0
"947",56
"948",10
"949",23
"950",5
"951",6
"952",3
"953",0
"954",1
"955",1
"956",4
"957",23
"958",47
"959",12
"960",11
"961",1
"962",1
"963",67
"964",51
"965",0
"966",3
"967",5
"968",20
"969",3
"970",3
"971",1
"972",4
"973",9
"974",3
"975",2
"976",1
"977",0
"978",0
"979",45
"980",0
"981",13
"982",41
"983",4
"984",8
"985",22
"986",3
"987",6
"988",0
"989",57
"990",36
"991",3
"992",0
"993",1
"994",4
"995",4
"996",26
"997",40
"998",11
"999",1
"1000",29
"1001",9
"1002",6
"1003",20
"1004",1
"1005",0
"1006",0
"1007",1
"1008",0
"1009",0
"1010",2
"1011",4
"1012",0
"1013",0
"1014",3
"1015",0
"1016",4
"1017",0
"1018",8
"1019",1
"1020",1
"1021",0
"1022",3
"1023",3
"1024",3
"1025",1
"1026",8
"1027",0
"1028",5
"1029",8
"1030",0
"1031",0
"1032",6
"1033",7
"1034",21
"1035",50
"1036",4
"1037",60
"1038",5
"1039",4
"1040",0
"1041",40
"1042",4
"1043",9
"1044",35
"1045",1
"1046",1
"1047",48
"1048",43
"1049",29
"1050",0
"1051",0
"1052",1
"1053",6
"1054",24
"1055",0
"1056",3
"1057",4
"1058",53
"1059",4
"1060",3
"1061",0
"1062",1
"1063",19
"1064",64
"1065",0
"1066",0
"1067",9
"1068",1
"1069",6
"1070",21
"1071",1
"1072",71
"1073",0
"1074",29
"1075",37
"1076",23
"1077",17
