"","drugs.i.","a"
"3","X1",0.266077724200006
"4","X1001",0.300764003516488
"5","X1003",0.654220116605276
"6","X1004",0.714019437529922
"7","X1005",0.531863942634835
"8","X1006",0.382495815573117
"9","X1007",0.504871401208925
"10","X1008",0.497042889076516
"11","X1009",0.508621578934868
"12","X1010",0.339570363083596
"13","X1011",0.271591648389383
"14","X1012",0.676747488648084
"15","X1013",0.66057625173156
"16","X1014",0.440334420288472
"17","X1015",0.321412012858972
"18","X1016",0.504622505329902
"19","X1017",0.439128563519685
"20","X1018",0.537154767322174
"21","X1019",0.58311483649941
"22","X1020",0.285059917369805
"23","X1021",0.614073955247409
"24","X1022",0.47977468228949
"25","X1023",0.243559399353583
"26","X1024",0.553771639262108
"27","X1025",0.225726481990601
"28","X1026",0.255570975547419
"29","X1028",0.763250441282538
"30","X1029",0.497473614186574
"31","X1030",0.64107209695255
"32","X1031",0.260977938803905
"33","X1032",0.0246167101137041
"34","X1033",0.543377720701901
"35","X1036",0.442233388811442
"36","X1037",0.73319584456484
"37","X1038",0.600795575918567
"38","X1039",0.438906357899167
"39","X104",0.521473723549467
"40","X1042",0.479957381865247
"41","X1043",0.416875811216706
"42","X1046",0.372726818130136
"43","X1047",0.472007080799651
"44","X1049",0.523596464036086
"45","X1050",0.629264811974947
"46","X1052",0.561465182942122
"47","X1053",0.437811214625383
"48","X1054",0.6536877790814
"49","X1057",0.478090837936498
"50","X1058",0.588024503996562
"51","X1059",0.615130153098812
"52","X106",0.668323577981855
"53","X1060",0.268445892502857
"54","X1061",0.476970189427368
"55","X1062",0.477467012402741
"56","X1066",0.224811508575657
"57","X1067",0.344146993649095
"58","X1069",0.322494614617674
"59","X1072",0.374417251379881
"60","X1091",0.420544785656163
"61","X11",0.54682219884293
"62","X110",0.362031907739038
"63","X111",0.602793547460767
"64","X1114",0.204004235497256
"65","X1129",0.396777154916142
"66","X1133",0.556503202183203
"67","X1142",0.809247472951926
"68","X1143",0.398284225320013
"69","X1149",0.428403354391937
"70","X1158",0.698983046138151
"71","X1161",0.44334444249325
"72","X1164",0.573003004715962
"73","X1166",0.44824539405771
"74","X1170",0.589078866483723
"75","X1175",0.588766467816905
"76","X119",0.488830893028613
"77","X1192",0.529290186505171
"78","X1194",0.452938532133589
"79","X1199",0.634148942788523
"80","X1203",0.640378091175204
"81","X1218",0.669128115441258
"82","X1219",0.640210201071891
"83","X1230",0.457732355290144
"84","X1236",0.456241643477299
"85","X1239",0.634543567826581
"86","X1241",0.40076560686997
"87","X1242",0.363171781497886
"88","X1243",0.408195483196687
"89","X1248",0.390841852701761
"90","X1259",0.50323002632003
"91","X1261",0.372791828450841
"92","X1262",0.686252167721564
"93","X1264",0.40649876891969
"94","X1268",0.501575884478078
"95","X127",0.546520957996172
"96","X133",0.685091216363736
"97","X134",0.759960954311031
"98","X135",0.670576825309284
"99","X136",0.535971033505563
"100","X1371",0.564624793411767
"101","X1372",0.32914436572832
"102","X1373",0.497008129910092
"103","X1375",0.603796157328931
"104","X1377",0.383607853785803
"105","X1378",0.447206389274885
"106","X140",0.622511015991272
"107","X147",0.308465378466463
"108","X1494",0.595501729401195
"109","X1495",0.549222756416388
"110","X1498",0.0666959046996621
"111","X150",0.527927751201243
"112","X1502",0.614894064731903
"113","X151",0.625740741332073
"114","X152",0.832451121721381
"115","X1526",0.298820854525748
"116","X1527",0.362466346923962
"117","X1529",0.324791544772207
"118","X153",0.63582161001471
"119","X154",0.534108352011469
"120","X155",0.582860939346103
"121","X156",0.376356299972604
"122","X157",0.6737817889567
"123","X158",0.624934294051027
"124","X159",0.400093966401859
"125","X163",0.461817300377792
"126","X164",0.619334967416471
"127","X165",0.520812065954284
"128","X166",0.554837042965182
"129","X167",0.675439587444141
"130","X17",0.762811481399064
"131","X170",0.311537778355995
"132","X171",0.641126964369269
"133","X172",0.484572889280931
"134","X173",0.447661217910657
"135","X175",0.638362903315608
"136","X176",0.554888450622638
"137","X177",0.763254486499537
"138","X178",0.786475580847895
"139","X179",0.761900712349213
"140","X180",0.59600313658922
"141","X182",0.654196722771634
"142","X184",0.434143717369275
"143","X185",0.29584148026382
"144","X186",0.445099180450625
"145","X190",0.680760414929852
"146","X192",0.505704985000387
"147","X193",0.581456450690487
"148","X194",0.623693818319623
"149","X196",0.31469307753325
"150","X197",0.358540263659921
"151","X199",0.411439666412397
"152","X200",0.431984657254663
"153","X201",0.653736105799823
"154","X202",0.429518941007815
"155","X203",0.686499204016559
"156","X204",0.618396994457698
"157","X205",0.580769544036999
"158","X206",0.690932295027841
"159","X207",0.687870247021129
"160","X208",0.717332087361386
"161","X211",0.704659718556374
"162","X219",0.705708939078747
"163","X221",0.66105919662701
"164","X222",0.766354962573596
"165","X223",0.684052954356564
"166","X224",0.571255373068537
"167","X225",0.771621010254866
"168","X226",0.702570678332573
"169","X228",0.721982242131384
"170","X229",0.583112695492408
"171","X230",0.662349400089739
"172","X231",0.553042365001995
"173","X235",0.713098919312481
"174","X238",0.730555614827975
"175","X245",0.569824273177061
"176","X249",0.769497923814699
"177","X252",0.687754730287497
"178","X253",0.78997175140683
"179","X254",0.619338375954398
"180","X255",0.488629980366705
"181","X256",0.773905144216893
"182","X257",0.826326429942137
"183","X258",0.605426319497918
"184","X260",0.852257970471272
"185","X261",0.783373133639672
"186","X262",0.447655804436314
"187","X263",0.670111812405873
"188","X265",0.722273125653138
"189","X266",0.546628488185005
"190","X268",0.573245471055383
"191","X269",0.525473308941617
"192","X271",0.540691151182518
"193","X272",0.631615424238798
"194","X273",0.584217016672968
"195","X274",0.598599687324145
"196","X275",0.759500162614691
"197","X276",0.632036812351979
"198","X277",0.630255322284933
"199","X279",0.873167556980345
"200","X281",0.614544806771725
"201","X282",0.550443465235947
"202","X283",0.761247262116166
"203","X286",0.739946416596033
"204","X287",0.711213541257138
"205","X288",0.623042028649858
"206","X29",0.381315881756297
"207","X290",0.759305830123333
"208","X291",0.780038403766446
"209","X292",0.755701780570222
"210","X293",0.415059317787723
"211","X294",0.772053298897273
"212","X295",0.80548054801815
"213","X298",0.721432868858637
"214","X299",0.761625275311963
"215","X3",0.46469894489673
"216","X30",0.569688989436506
"217","X300",0.753335865466725
"218","X301",0.799469945803206
"219","X302",0.723275718724381
"220","X303",0.858707108723418
"221","X304",0.542703257711621
"222","X305",0.862381089326133
"223","X306",0.754308360840785
"224","X308",0.585604888422037
"225","X309",0.749940385867812
"226","X310",0.825117904893044
"227","X312",0.652732255960506
"228","X32",0.731582206677822
"229","X326",0.668750249190783
"230","X328",0.677595150609025
"231","X329",0.760357935782572
"232","X330",0.824185480451044
"233","X331",0.728638405176069
"234","X332",0.633231850954429
"235","X333",0.591569026639615
"236","X34",0.644902657081067
"237","X341",0.440578949864108
"238","X344",0.531092935324343
"239","X345",0.659228730403861
"240","X346",0.719424767163259
"241","X35",0.625516762963694
"242","X37",0.586525883865417
"243","X38",0.699323263106459
"244","X41",0.574461708644953
"245","X45",0.775238571531045
"246","X5",0.731252970408632
"247","X51",0.463075226308353
"248","X52",0.261591880565851
"249","X53",0.854504612314849
"250","X54",0.565648010633289
"251","X55",0.717988182090374
"252","X56",0.735207810007209
"253","X59",0.653784434546554
"254","X6",0.302367548710132
"255","X60",0.698714862109577
"256","X62",0.461608969440774
"257","X63",0.701770101642894
"258","X64",0.704987187606809
"259","X71",0.349491541148709
"260","X83",0.705365158328925
"261","X86",0.696808756402961
"262","X87",0.765855378672343
"263","X88",0.612081031469845
"264","X89",0.530141324761785
"265","X9",0.496045958528442
"266","X91",0.543584037492777
"267","X94",0.475336002734205
